,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.274009212,0.282070875,0.285452851,0.290277195,0.289053427,0.280325699,0.277938817,0.261159825,0.274009212,0.275270956,0.286731137,0.281105964,0.285636691,0.299928629,0.285636691,0.291483017,0.285268596,0.289580132,0.284341036,0.286367946,0.300697158
2,Albania,0.237796883,0.238468561,0.238468561,0.219095207,0.224134927,0.224941865,0.222077523,0.219095207,0.215069227,0.227310543,0.222493696,0.227310543,0.223318946,0.224134927,0.222077523,0.217333816,0.21128849,0.21225282,0.205733144,0.205733144,0.211772306
3,Algeria,0.232557774,0.243010163,0.233991183,0.224539513,0.227697984,0.223318946,0.222907494,0.225342011,0.222077523,0.225342011,0.223318946,0.210310745,0.21552794,0.21273008,0.216886613,0.206776756,0.214142816,0.221237932,0.218219922,0.216886613,0.216886613
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.203052883,0.195546824,0.192420624,0.184969461,0.181275111,0.172287652,0.172287652,0.162764964,0.167718451,0.162764964,0.148713139,0.179734815,0.147356004,0.169588312,0.170501656,0.151324687,0.152583195,0.16479733,0.156190272,0.148713139,0.14304918
6,Angola,0.216886613,0.201392972,0.204673529,0.213675031,0.210310745,0.205733144,0.206256917,0.21128849,0.199114883,0.207292728,0.207804893,0.209816713,0.21552794,0.215069227,0.216436593,0.21777824,0.208818054,0.216886613,0.217333816,0.207292728,0.208818054
7,Antigua and Barbuda,0.103926103,0.094907767,0.133034651,0.119532482,0.108189005,0.046026592,0.036181313,0.057389804,0.036181313,0.129096122,0.046026592,0.042501676,0.099657275,0.042501676,0.108189005,0.08573396,0.042501676,0.131114626,0.103926103,0.069196238,0.033231836
8,Argentina,0.147356004,0.155014466,0.148713139,0.151324687,0.150035315,0.150035315,0.134869078,0.133034651,0.141524796,0.155014466,0.144526913,0.157341335,0.150035315,0.157341335,0.144526913,0.151324687,0.138319286,0.14304918,0.144526913,0.139949729,0.141524796
9,Armenia,0.221237932,0.219959959,0.213675031,0.21552794,0.215069227,0.220388471,0.218658899,0.21777824,0.218219922,0.21777824,0.235745056,0.232918723,0.235397557,0.228848204,0.226135787,0.223318946,0.228848204,0.230354425,0.219528883,0.220814451,0.223728081
10,Australia,0.112256996,0.124687542,0.112256996,0.119532482,0.134869078,0.144526913,0.08573396,0.090318399,0.129096122,0.103926103,0.08573396,0.12696191,0.073068589,0.090318399,0.099657275,0.112256996,0.103926103,0.08573396,0.108189005,0.099657275,0.099657275
11,Austria,0.242377789,0.23469768,0.232195064,0.226135787,0.229605156,0.223728081,0.211772306,0.222493696,0.224539513,0.199691616,0.205205371,0.223318946,0.215069227,0.218658899,0.214142816,0.221237932,0.206776756,0.209319167,0.210310745,0.193688824,0.206256917
12,Azerbaijan,0.233991183,0.229605156,0.229227651,0.221237932,0.222077523,0.226135787,0.214142816,0.220814451,0.223318946,0.218658899,0.240773415,0.235397557,0.235745056,0.222077523,0.226921046,0.228848204,0.232557774,0.226135787,0.215069227,0.223318946,0.226921046
13,Azores (POR),0.073068589,0.073068589,0.124687542,0.02713065,0.036181313,0.018507847,0.020994391,0.013688853,0.023948285,0.033231836,0.042501676,0.01107307,0.013688853,0.008797009,0.004476363,0.023948285,0.015936609,0.020994391,0.023948285,0.053438157,0.006694533
14,Bahamas,0.173161217,0.14304918,0.150035315,0.150035315,0.12696191,0.131114626,0.119532482,0.129096122,0.144526913,0.119532482,0.103926103,0.136627939,0.08573396,0.103926103,0.14304918,0.108189005,0.116325129,0.103926103,0.081205724,0.061454912,0.057389804
15,Bahrain,0.291483017,0.292671439,0.301912238,0.287632128,0.288523321,0.312917016,0.303258364,0.308296464,0.30617429,0.309544471,0.327572912,0.317171768,0.311315049,0.312519371,0.32001553,0.306887668,0.298369929,0.310774215,0.302662766,0.312652128,0.317422876
16,Bangladesh,0.283967039,0.285268596,0.297420472,0.303109862,0.303406602,0.298840617,0.299308652,0.302363365,0.304583129,0.305743329,0.308156644,0.323819957,0.309819306,0.324859989,0.340364389,0.323587103,0.326000881,0.322649262,0.32531818,0.32439932,0.334309798
17,Belarus,0.239134302,0.234345267,0.224134927,0.21777824,0.233991183,0.21225282,0.207804893,0.218219922,0.230354425,0.216436593,0.208818054,0.222907494,0.229227651,0.208818054,0.205733144,0.208818054,0.21225282,0.205733144,0.199691616,0.203597359,0.204673529
18,Belgium,0.253855607,0.23469768,0.233635409,0.225342011,0.222493696,0.235397557,0.225342011,0.214142816,0.229605156,0.21273008,0.217333816,0.224134927,0.227310543,0.21777824,0.219959959,0.215983715,0.205205371,0.206256917,0.206256917,0.203052883,0.20413755
19,Belize,0.199691616,0.184247528,0.207292728,0.187778771,0.178950252,0.200830572,0.160657772,0.187778771,0.174871581,0.188462436,0.172287652,0.187778771,0.155014466,0.187778771,0.178950252,0.206256917,0.199114883,0.197946436,0.186389412,0.173161217,0.186389412
20,Benin,0.343007044,0.312652128,0.340364389,0.320741959,0.325887476,0.313181075,0.336342285,0.327238478,0.322413177,0.334822449,0.3386217,0.31792287,0.324629966,0.31866737,0.323236623,0.308575406,0.307876304,0.334309798,0.330954172,0.330094309,0.327014791
21,Bhutan,0.240448423,0.242377789,0.252753999,0.252476136,0.251636518,0.258112513,0.266690541,0.266457935,0.264333221,0.266457935,0.272295475,0.278341548,0.270765316,0.264093588,0.282834646,0.267153722,0.275062034,0.268300013,0.265756001,0.267614221,0.272942421
22,Bolivia,0.21225282,0.207804893,0.195546824,0.177350886,0.191127588,0.170501656,0.187087822,0.187778771,0.168660752,0.197354528,0.16479733,0.187087822,0.206776756,0.192420624,0.183517348,0.178155708,0.18203137,0.192420624,0.193057762,0.190471408,0.184969461
23,Bosnia and Herzegovina,0.243948977,0.24579263,0.243324389,0.229227651,0.235745056,0.23072623,0.226529469,0.229980741,0.227697984,0.218219922,0.220388471,0.231096177,0.225342011,0.237458782,0.23072623,0.23072623,0.216436593,0.23072623,0.21777824,0.208313316,0.222493696
24,Botswana,0.166760849,0.152583195,0.162764964,0.180509678,0.169588312,0.163790108,0.156190272,0.167718451,0.156190272,0.160657772,0.174022394,0.174871581,0.18203137,0.184969461,0.184247528,0.176535477,0.172287652,0.178950252,0.174022394,0.165787353,0.165787353
25,Brazil,0.191777279,0.184247528,0.175709155,0.174022394,0.172287652,0.167718451,0.170501656,0.165787353,0.161721128,0.173161217,0.163790108,0.176535477,0.174022394,0.176535477,0.17140128,0.17140128,0.163790108,0.174871581,0.174871581,0.169588312,0.17140128
26,Brunei,0.243948977,0.183517348,0.172287652,0.175709155,0.207804893,0.197946436,0.203052883,0.189138988,0.217333816,0.184969461,0.173161217,0.220388471,0.181275111,0.199691616,0.20195077,0.19431394,0.196154829,0.209319167,0.200830572,0.168660752,0.18203137
27,Bulgaria,0.241419243,0.23979422,0.237796883,0.227310543,0.23072623,0.224539513,0.215983715,0.221658945,0.219095207,0.209816713,0.219095207,0.218658899,0.216436593,0.231096177,0.219959959,0.214607533,0.213675031,0.207804893,0.21080132,0.199114883,0.193688824
28,Burkina Faso,0.31792287,0.301306913,0.316793703,0.303702291,0.311180166,0.297101557,0.325546355,0.315135604,0.304874691,0.322884693,0.316286973,0.30899209,0.314748302,0.304290547,0.312652128,0.291824319,0.296137382,0.323936145,0.317422876,0.311449716,0.307312797
29,Myanmar,0.206776756,0.204673529,0.202504046,0.21273008,0.219095207,0.209816713,0.223728081,0.219528883,0.219528883,0.229227651,0.219095207,0.236090948,0.224539513,0.222077523,0.236090948,0.236777981,0.235048438,0.228083392,0.227310543,0.225342011,0.236777981
30,Burundi,0.256806995,0.228848204,0.247592895,0.24639743,0.233991183,0.228466791,0.236777981,0.234345267,0.220388471,0.23469768,0.236435252,0.230354425,0.229227651,0.243948977,0.251636518,0.241419243,0.237458782,0.23979422,0.240122029,0.222907494,0.218219922
31,Cambodia,0.20413755,0.187778771,0.197946436,0.197354528,0.207804893,0.199114883,0.216886613,0.214142816,0.208818054,0.215983715,0.206776756,0.20195077,0.21273008,0.21552794,0.206776756,0.225739977,0.217333816,0.211772306,0.208313316,0.21128849,0.221237932
