,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.263316021,0.273611226,0.277949954,0.284158277,0.282581355,0.271376819,0.268325869,0.247054264,0.263316021,0.264922822,0.279592784,0.272375437,0.278186125,0.296642242,0.278186125,0.285713434,0.277713284,0.283259885,0.276522362,0.279125857,0.297639788
2,Albania,0.218013749,0.218838242,0.218838242,0.195331816,0.201390129,0.202363974,0.198911904,0.195331816,0.190522327,0.205228551,0.199412649,0.205228551,0.20040643,0.201390129,0.198911904,0.193224283,0.18603097,0.187174201,0.179477054,0.179477054,0.18660434
3,Algeria,0.211605384,0.224430044,0.213354654,0.201878269,0.205697945,0.20040643,0.199910814,0.20284727,0.198911904,0.20284727,0.20040643,0.184873498,0.191068931,0.187740601,0.192690024,0.180704035,0.18941951,0.197902551,0.194283875,0.192690024,0.192690024
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.176334975,0.167607294,0.164004456,0.155496826,0.15132171,0.141289987,0.141289987,0.13086661,0.136261175,0.13086661,0.115913068,0.149589663,0.11449834,0.138313126,0.139318448,0.118650747,0.119977066,0.133072587,0.12380307,0.115913068,0.110046219
6,Angola,0.192690024,0.17439572,0.178233288,0.188863209,0.184873498,0.179477054,0.18009261,0.18603097,0.171742679,0.181311393,0.181914746,0.184289293,0.191068931,0.190522327,0.192152739,0.193755554,0.183109677,0.192690024,0.193224283,0.181311393,0.183109677
7,Antigua and Barbuda,0.074177911,0.067285908,0.099935439,0.08701628,0.077682316,0.031824914,0.024811546,0.039716937,0.024811546,0.096065422,0.031824914,0.02932465,0.070759654,0.02932465,0.077682316,0.060674588,0.02932465,0.098040415,0.074177911,0.048725856,0.022563954
8,Argentina,0.11449834,0.122551956,0.115913068,0.118650747,0.117296614,0.117296614,0.101759976,0.099935439,0.108484585,0.122551956,0.111567247,0.125031485,0.117296614,0.125031485,0.111567247,0.118650747,0.105226233,0.110046219,0.111567247,0.106879151,0.108484585
9,Armenia,0.197902551,0.196368392,0.188863209,0.191068931,0.190522327,0.196882506,0.194809284,0.193755554,0.194283875,0.193755554,0.21549917,0.21204558,0.215073911,0.207092841,0.203806745,0.20040643,0.207092841,0.208922562,0.195851507,0.197393881,0.200899525
10,Australia,0.081001282,0.091821126,0.081001282,0.08701628,0.101759976,0.111567247,0.060674588,0.063897063,0.096065422,0.074177911,0.060674588,0.093998041,0.051666756,0.063897063,0.070759654,0.081001282,0.074177911,0.060674588,0.077682316,0.070759654,0.070759654
11,Austria,0.223649692,0.214217962,0.211163239,0.203806745,0.208011932,0.200899525,0.18660434,0.199412649,0.201878269,0.172413408,0.178857303,0.20040643,0.190522327,0.194809284,0.18941951,0.197902551,0.180704035,0.183701371,0.184873498,0.165463683,0.18009261
12,Azerbaijan,0.213354654,0.208011932,0.207553455,0.197902551,0.198911904,0.203806745,0.18941951,0.197393881,0.20040643,0.194809284,0.221672412,0.215073911,0.21549917,0.198911904,0.204756903,0.207092841,0.211605384,0.203806745,0.190522327,0.20040643,0.204756903
13,Azores (POR),0.051666756,0.051666756,0.091821126,0.018308663,0.024811546,0.01225446,0.014129535,0.008533716,0.016040375,0.022563954,0.02932465,0.006813661,0.008533716,0.005325063,0.002336764,0.016040375,0.010274271,0.014129535,0.016040375,0.036894614,0.00382202
14,Bahamas,0.142257016,0.110046219,0.117296614,0.117296614,0.093998041,0.098040415,0.08701628,0.096065422,0.111567247,0.08701628,0.074177911,0.103521536,0.060674588,0.074177911,0.110046219,0.077682316,0.084204404,0.074177911,0.057568744,0.042725177,0.039716937
15,Bahrain,0.285713434,0.287247455,0.299217954,0.280751666,0.281898708,0.313564252,0.300967736,0.307529393,0.304763036,0.309157839,0.332803537,0.319134946,0.311470153,0.313044275,0.322865164,0.30569257,0.294620586,0.310763595,0.300193357,0.313217861,0.319464111
16,Bangladesh,0.276042417,0.277713284,0.293390139,0.300774632,0.301160515,0.295230858,0.295837878,0.299804193,0.302691181,0.304201684,0.307347025,0.327863757,0.309516611,0.32923183,0.349699566,0.32755755,0.330733336,0.326324614,0.329834752,0.328625777,0.341691346
