,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.290966604,0.293094897,0.293892911,0.29494425,0.294686795,0.292662086,0.292045788,0.286804639,0.290966604,0.291322157,0.29418113,0.292857415,0.293934804,0.296775569,0.293934804,0.295192041,0.293850773,0.294798351,0.293636338,0.294099967,0.296907399
2,Albania,0.276097938,0.27647332,0.27647332,0.26372646,0.267445011,0.26801285,0.265963136,0.26372646,0.260535976,0.269636937,0.266266874,0.269636937,0.26686318,0.267445011,0.265963136,0.262355128,0.257355351,0.258183896,0.252346664,0.252346664,0.257772534
3,Algeria,0.273014355,0.278897635,0.273885928,0.26773065,0.269896595,0.26686318,0.266566867,0.268291668,0.265963136,0.268291668,0.26686318,0.256503056,0.260909606,0.258589551,0.262000917,0.253318575,0.25977336,0.265344165,0.263049732,0.262000917,0.262000917
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.249783749,0.242083969,0.238644747,0.229879363,0.225228859,0.213043948,0.213043948,0.198783761,0.206371641,0.198783761,0.175465062,0.223228877,0.173098608,0.209140712,0.210473925,0.179972261,0.182119826,0.201940664,0.188175538,0.175465062,0.165502216
6,Angola,0.262000917,0.248147804,0.251344981,0.259384177,0.256503056,0.252346664,0.252836262,0.257355351,0.245841225,0.253793755,0.254261951,0.256067703,0.260909606,0.260535976,0.261641986,0.262704705,0.255177959,0.262000917,0.262355128,0.253793755,0.255177959
7,Antigua and Barbuda,0.10443192,0.093665661,0.147640213,0.124951642,0.109827005,0.04135982,0.031721494,0.053104862,0.031721494,0.140714775,0.04135982,0.038079218,0.098927095,0.038079218,0.109827005,0.083725399,0.038079218,0.144246882,0.10443192,0.065612874,0.02896122
8,Argentina,0.173098608,0.186218572,0.175465062,0.179972261,0.17775511,0.17775511,0.150902931,0.147640213,0.162790077,0.186218572,0.168121317,0.190074511,0.17775511,0.190074511,0.168121317,0.179972261,0.157066002,0.165502216,0.168121317,0.159979846,0.162790077
9,Armenia,0.265344165,0.264385947,0.259384177,0.260909606,0.260535976,0.264709415,0.26339029,0.262704705,0.263049732,0.262704705,0.274923519,0.273235846,0.274720432,0.270657668,0.268839378,0.26686318,0.270657668,0.271632403,0.26405832,0.265028797,0.267155874
10,Australia,0.115296322,0.133194704,0.115296322,0.124951642,0.150902931,0.168121317,0.083725399,0.088646506,0.140714775,0.10443192,0.083725399,0.137034596,0.070067593,0.088646506,0.098927095,0.115296322,0.10443192,0.083725399,0.109827005,0.098927095,0.098927095
11,Austria,0.278571726,0.274307677,0.272790404,0.268839378,0.271150604,0.267155874,0.257772534,0.266266874,0.26773065,0.246431924,0.251849624,0.26686318,0.260535976,0.26339029,0.25977336,0.265344165,0.253318575,0.255626047,0.256503056,0.240056661,0.252836262
12,Azerbaijan,0.273885928,0.271150604,0.27090555,0.265344165,0.265963136,0.268839378,0.25977336,0.265028797,0.26686318,0.26339029,0.277728129,0.274720432,0.274923519,0.265963136,0.269374216,0.270657668,0.273014355,0.268839378,0.260535976,0.26686318,0.269374216
13,Azores (POR),0.070067593,0.070067593,0.133194704,0.022853561,0.031721494,0.015170806,0.017231674,0.010329534,0.019684431,0.02896122,0.038079218,0.008079616,0.010329534,0.005947531,0.002357122,0.019684431,0.012289906,0.017231674,0.019684431,0.049514906,0.004003444
14,Bahamas,0.214283078,0.165502216,0.17775511,0.17775511,0.137034596,0.144246882,0.124951642,0.140714775,0.168121317,0.124951642,0.10443192,0.154042531,0.083725399,0.10443192,0.165502216,0.109827005,0.120392394,0.10443192,0.079050408,0.057402612,0.053104862
15,Bahrain,0.295192041,0.295430679,0.297111955,0.294380024,0.294573365,0.298767641,0.297333165,0.298113321,0.297793606,0.298295558,0.300518475,0.299323443,0.298547029,0.298713479,0.299672036,0.297902488,0.296502221,0.298471079,0.297235981,0.298731605,0.299354938
16,Bangladesh,0.293548776,0.293850773,0.296331697,0.297309036,0.297357185,0.29658562,0.296667813,0.297186715,0.297545469,0.297727125,0.298092641,0.30011195,0.29833513,0.300227239,0.301727855,0.300085853,0.30035136,0.299979673,0.300277379,0.300176428,0.301186768
17,Belarus,0.276841031,0.274097943,0.267445011,0.262704705,0.273885928,0.258183896,0.254261951,0.263049732,0.271632403,0.261641986,0.255177959,0.266566867,0.27090555,0.255177959,0.252346664,0.255177959,0.258183896,0.252346664,0.246431924,0.250312217,0.251344981
18,Belgium,0.283939991,0.274307677,0.273671597,0.268291668,0.266266874,0.274720432,0.268291668,0.25977336,0.271150604,0.258589551,0.262355128,0.267445011,0.269636937,0.262704705,0.264385947,0.261278245,0.251849624,0.252836262,0.252836262,0.249783749,0.250832569
19,Belize,0.246431924,0.228986695,0.253793755,0.23327947,0.222196224,0.247584998,0.195448182,0.23327947,0.216674986,0.234089333,0.213043948,0.23327947,0.186218572,0.23327947,0.222196224,0.252836262,0.245841225,0.244630368,0.231612505,0.214283078,0.231612505
20,Benin,0.301948306,0.298731605,0.301727855,0.29975831,0.300339131,0.298803392,0.301374282,0.300483296,0.299952671,0.301234648,0.301577423,0.299417231,0.300201918,0.299508966,0.300046375,0.298154417,0.298051016,0.301186768,0.300863239,0.300777408,0.300459655
21,Bhutan,0.277554285,0.278571726,0.28347269,0.283353294,0.282988733,0.285657498,0.288723215,0.28864657,0.287930335,0.28864657,0.290469492,0.292151795,0.290011424,0.287847702,0.293279736,0.288874812,0.291263885,0.289244208,0.288413186,0.289024194,0.290659104
22,Bolivia,0.258183896,0.254261951,0.242083969,0.220061807,0.237181489,0.210473925,0.232454015,0.23327947,0.207773721,0.244009733,0.201940664,0.232454015,0.253318575,0.238644747,0.228075903,0.221140798,0.226197602,0.238644747,0.239356953,0.236429726,0.229879363
