,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.271259845,0.287782485,0.294725854,0.30462633,0.302116165,0.284200868,0.279305614,0.245171469,0.271259845,0.273840981,0.297350151,0.285802009,0.295103296,0.324355454,0.295103296,0.307098417,0.294347557,0.303196673,0.292443125,0.296604569,0.325918973
2,Albania,0.199416974,0.200689936,0.200689936,0.165283969,0.174215806,0.175665191,0.170544174,0.165283969,0.158303201,0.179949418,0.171284091,0.179949418,0.172755496,0.174215806,0.170544174,0.162212566,0.15187794,0.153504557,0.142674668,0.142674668,0.152692976
3,Algeria,0.189592293,0.209372212,0.192261437,0.174941854,0.180654338,0.172755496,0.172021191,0.176385839,0.170544174,0.176385839,0.172755496,0.150237366,0.15909145,0.154312712,0.161437014,0.144381501,0.156716942,0.169055799,0.163754377,0.161437014,0.161437014
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.138338802,0.126570531,0.12183601,0.110958578,0.105782126,0.093801666,0.093801666,0.082072108,0.088048571,0.082072108,0.066614026,0.103666929,0.065239746,0.090375165,0.091525596,0.069317885,0.07064863,0.084491257,0.074562203,0.066614026,0.061019307
6,Angola,0.161437014,0.135688411,0.140952279,0.155918874,0.150237366,0.142674668,0.143530009,0.15187794,0.132094969,0.145229183,0.146073093,0.149411762,0.15909145,0.158303201,0.160658329,0.162985012,0.147749749,0.161437014,0.162212566,0.145229183,0.147749749
7,Antigua and Barbuda,0.034542313,0.03071311,0.052053512,0.042057256,0.036440004,0.012581759,0.009185786,0.016256123,0.009185786,0.048867568,0.012581759,0.011377575,0.032635817,0.011377575,0.036440004,0.02708581,0.011377575,0.050475291,0.034542313,0.020615922,0.008206532
8,Argentina,0.065239746,0.073270331,0.066614026,0.069317885,0.067973203,0.067973203,0.05360477,0.052053512,0.059577255,0.073270331,0.062443156,0.075841983,0.067973203,0.075841983,0.062443156,0.069317885,0.056634391,0.061019307,0.062443156,0.058115995,0.059577255
9,Armenia,0.169055799,0.166801543,0.155918874,0.15909145,0.158303201,0.167555885,0.164520687,0.162985012,0.163754377,0.162985012,0.195546866,0.19026304,0.194894234,0.182753845,0.177819143,0.172755496,0.182753845,0.185518264,0.166044246,0.168307296,0.173487027
10,Australia,0.038323007,0.045549857,0.038323007,0.042057256,0.05360477,0.062443156,0.02708581,0.028887323,0.048867568,0.034542313,0.02708581,0.047227154,0.022158046,0.028887323,0.032635817,0.038323007,0.034542313,0.02708581,0.036440004,0.032635817,0.032635817
11,Austria,0.208155681,0.193582319,0.188919214,0.177819143,0.184140984,0.173487027,0.152692976,0.171284091,0.174941854,0.13299986,0.141815438,0.172755496,0.158303201,0.164520687,0.156716942,0.169055799,0.144381501,0.148582568,0.150237366,0.123744637,0.143530009
12,Azerbaijan,0.192261437,0.184140984,0.183448656,0.169055799,0.170544174,0.177819143,0.156716942,0.168307296,0.172755496,0.164520687,0.205080141,0.194894234,0.195546866,0.170544174,0.179241925,0.182753845,0.189592293,0.177819143,0.158303201,0.172755496,0.179241925
13,Azores (POR),0.022158046,0.022158046,0.045549857,0.006354023,0.009185786,0.003917141,0.004643713,0.002584281,0.005394183,0.008206532,0.011377575,0.002042776,0.002584281,0.001589841,0.000759205,0.005394183,0.003200438,0.004643713,0.005394183,0.014951379,0.001130932
14,Bahamas,0.094927655,0.061019307,0.067973203,0.067973203,0.047227154,0.050475291,0.042057256,0.048867568,0.062443156,0.042057256,0.034542313,0.055131147,0.02708581,0.034542313,0.061019307,0.036440004,0.04020804,0.034542313,0.025403656,0.017743774,0.016256123
15,Bahrain,0.307098417,0.309533338,0.328388029,0.299199563,0.30102849,0.350543967,0.331118885,0.341291866,0.337016558,0.343798801,0.379243582,0.358985716,0.34734555,0.349751016,0.364581054,0.338455399,0.321180276,0.346263443,0.32991121,0.350015821,0.35948137
16,Bangladesh,0.291675252,0.294347557,0.319243658,0.330817865,0.331419309,0.322139656,0.323093159,0.329303761,0.333801473,0.336146539,0.341010658,0.372001871,0.344350115,0.374016828,0.403254585,0.371549912,0.376220119,0.369726588,0.374902586,0.373125078,0.39202689
17,Belarus,0.201954539,0.192923006,0.174215806,0.162985012,0.192261437,0.153504557,0.146073093,0.163754377,0.185518264,0.160658329,0.147749749,0.172021191,0.183448656,0.147749749,0.142674668,0.147749749,0.153504557,0.142674668,0.13299986,0.139214004,0.140952279
18,Belgium,0.230579,0.193582319,0.191597596,0.176385839,0.171284091,0.194894234,0.176385839,0.156716942,0.184140984,0.154312712,0.162212566,0.174215806,0.179949418,0.162985012,0.166801543,0.159876483,0.141815438,0.143530009,0.143530009,0.138338802,0.140085148
19,Belize,0.13299986,0.109935619,0.145229183,0.114991612,0.10259933,0.134796531,0.079612481,0.114991612,0.097156364,0.115985609,0.093801666,0.114991612,0.073270331,0.114991612,0.10259933,0.143530009,0.132094969,0.130271819,0.112986675,0.094927655,0.112986675
20,Benin,0.408071467,0.350015821,0.403254585,0.366003897,0.376001448,0.351070169,0.395824789,0.378601597,0.369266845,0.392987501,0.400049727,0.360467396,0.373571706,0.361933374,0.370869082,0.341852675,0.340446627,0.39202689,0.385695831,0.384061766,0.378171833
21,Bhutan,0.204459074,0.208155681,0.228397811,0.22784853,0.22619099,0.239057638,0.256347903,0.255876021,0.251572733,0.255876021,0.267758213,0.280131229,0.26463627,0.251088225,0.289350379,0.257287978,0.273413429,0.259616891,0.254452928,0.258223169,0.269079498
22,Bolivia,0.153504557,0.146073093,0.126570531,0.100443525,0.119907008,0.091525596,0.113991995,0.114991612,0.089216222,0.129353454,0.084491257,0.113991995,0.144381501,0.12183601,0.108906594,0.101524903,0.10682995,0.12183601,0.122792837,0.118934693,0.110958578
23,Bosnia and Herzegovina,0.21118263,0.214752792,0.20997759,0.183448656,0.195546866,0.186203249,0.178531839,0.184830848,0.180654338,0.163754377,0.167555885,0.18688582,0.176385839,0.198777325,0.186203249,0.186203249,0.160658329,0.186203249,0.162985012,0.14691327,0.171284091
24,Botswana,0.086872005,0.07064863,0.082072108,0.104727823,0.090375165,0.083286607,0.074562203,0.088048571,0.074562203,0.079612481,0.096045835,0.097156364,0.10682995,0.110958578,0.109935619,0.099355067,0.093801666,0.10259933,0.096045835,0.08568631,0.08568631
25,Brazil,0.12087409,0.109935619,0.098259393,0.096045835,0.093801666,0.088048571,0.091525596,0.08568631,0.080847493,0.094927655,0.083286607,0.099355067,0.096045835,0.099355067,0.092667703,0.092667703,0.083286607,0.097156364,0.097156364,0.090375165,0.092667703
26,Brunei,0.21118263,0.108906594,0.093801666,0.098259393,0.146073093,0.130271819,0.138338802,0.11697407,0.162212566,0.110958578,0.094927655,0.167555885,0.105782126,0.13299986,0.136576052,0.124691478,0.127502867,0.148582568,0.134796531,0.089216222,0.10682995
27,Bulgaria,0.206316281,0.203210885,0.199416974,0.179949418,0.186203249,0.174941854,0.159876483,0.169801417,0.165283969,0.149411762,0.165283969,0.164520687,0.160658329,0.18688582,0.166801543,0.157511708,0.155918874,0.146073093,0.151059414,0.132094969,0.123744637
28,Burkina Faso,0.360467396,0.327158465,0.358238908,0.332018378,0.347075781,0.318592764,0.375343236,0.354955825,0.334391182,0.370184758,0.3572369,0.342689895,0.354187174,0.333209446,0.350015821,0.307797862,0.316623772,0.372227275,0.35948137,0.347614816,0.339312063
29,Myanmar,0.144381501,0.140952279,0.1374595,0.154312712,0.165283969,0.149411762,0.173487027,0.166044246,0.166044246,0.183448656,0.165283969,0.196197298,0.174941854,0.170544174,0.196197298,0.197491625,0.19423939,0.181356704,0.179949418,0.176385839,0.197491625
30,Burundi,0.236449312,0.182753845,0.218257284,0.215928143,0.192261437,0.182056533,0.197491625,0.192923006,0.167555885,0.193582319,0.196845547,0.185518264,0.183448656,0.21118263,0.22619099,0.206316281,0.198777325,0.203210885,0.203835993,0.172021191,0.163754377
31,Cambodia,0.140085148,0.114991612,0.130271819,0.129353454,0.146073093,0.132094969,0.161437014,0.156716942,0.147749749,0.159876483,0.144381501,0.136576052,0.154312712,0.15909145,0.144381501,0.177103816,0.162212566,0.152692976,0.14691327,0.15187794,0.169055799
32,Cameroon,0.362418588,0.304981795,0.332912558,0.285802009,0.2932075,0.292059628,0.313959717,0.305336486,0.286993063,0.292059628,0.296977779,0.292059628,0.295103296,0.290128905,0.299566975,0.279305614,0.275117389,0.328081562,0.320859167,0.309187734,0.303913066
33,Canada,0.117957072,0.100443525,0.092667703,0.098259393,0.10259933,0.097156364,0.079612481,0.092667703,0.084491257,0.077110053,0.079612481,0.075841983,0.065239746,0.075841983,0.077110053,0.069317885,0.077110053,0.074562203,0.055131147,0.074562203,0.079612481
34,Canary Islands (SPA),0.125633421,0.061019307,0.104727823,0.073270331,0.098259393,0.061019307,0.101524903,0.089216222,0.059577255,0.062443156,0.084491257,0.038323007,0.042057256,0.050475291,0.055131147,0.079612481,0.032635817,0.090375165,0.061019307,0.10682995,0.061019307
35,Cape Verde,0.312271726,0.259153518,0.283798225,0.22169827,0.236449312,0.212380119,0.226745127,0.222831511,0.19423939,0.275540789,0.262827339,0.172021191,0.155117474,0.251088225,0.284200868,0.224518729,0.19423939,0.292443125,0.253976063,0.293588383,0.19423939
36,Cayman Islands (UK),0.080847493,0.078366773,0.101524903,0.099355067,0.082072108,0.098259393,0.073270331,0.075841983,0.093801666,0.097156364,0.078366773,0.086872005,0.061019307,0.069317885,0.084491257,0.094927655,0.104727823,0.101524903,0.073270331,0.056634391,0.083286607
37,Central African Republic,0.291289995,0.272124459,0.275117389,0.236973918,0.241629741,0.252537889,0.282990084,0.239057638,0.235923221,0.250115321,0.260540057,0.261915938,0.255402901,0.284602564,0.280542559,0.264185759,0.248153794,0.281770682,0.273413429,0.263734103,0.272984827
38,Chad,0.350015821,0.299199563,0.323409698,0.296604569,0.305690405,0.309187734,0.321820518,0.317611343,0.305690405,0.312610756,0.305690405,0.324982763,0.309187734,0.314963988,0.319243658,0.298462277,0.285403131,0.334685172,0.321500725,0.318592764,0.315297339
39,Chatham Islands (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chile,0.124691478,0.1374595,0.114991612,0.119907008,0.11697407,0.10259933,0.097156364,0.104727823,0.101524903,0.10259933,0.105782126,0.12087409,0.111975566,0.126570531,0.119907008,0.117957072,0.115985609,0.124691478,0.136576052,0.126570531,0.11697407
41,China,0.319891863,0.303196673,0.321500725,0.320214962,0.327466782,0.321180276,0.319243658,0.324669427,0.342132279,0.339027058,0.334978587,0.340446627,0.346534729,0.356480654,0.339312063,0.345991648,0.33527143,0.311591502,0.308146453,0.285403131,0.286199955
42,Colombia,0.30102849,0.260540057,0.268640168,0.191597596,0.185518264,0.214752792,0.193582319,0.196845547,0.195546866,0.200689936,0.203210885,0.192261437,0.222265739,0.218257284,0.201323276,0.203210885,0.205699206,0.192923006,0.203835993,0.196845547,0.206931377
43,Comoros,0.009185786,0.001589841,0.006354023,0.010186449,0.006354023,0.008206532,0.005394183,0.005394183,0.003917141,0.008206532,0.002584281,0.003917141,0.003917141,0.008206532,0.004643713,0.007276815,0.003200438,0.006354023,0.006354023,0.002584281,0.005394183
44,Democratic Republic of the Congo,0.290903854,0.245671906,0.273413429,0.232198386,0.233803863,0.225635217,0.244166484,0.226745127,0.205080141,0.225077799,0.230579,0.231660147,0.237497046,0.241629741,0.261458487,0.256818554,0.239057638,0.26237222,0.255876021,0.228397811,0.233803863
45,Congo,0.276384508,0.238538899,0.260999862,0.22619099,0.236973918,0.230579,0.245671906,0.230579,0.210581059,0.222831511,0.246668702,0.244166484,0.252055952,0.247660102,0.243661924,0.26553388,0.247660102,0.256818554,0.258223169,0.236973918,0.246668702
46,Cook Islands (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Costa Rica,0.100443525,0.050475291,0.056634391,0.058115995,0.045549857,0.047227154,0.036440004,0.059577255,0.052053512,0.065239746,0.055131147,0.069317885,0.058115995,0.067973203,0.078366773,0.074562203,0.069317885,0.082072108,0.079612481,0.077110053,0.058115995
48,Croatia,0.203210885,0.203210885,0.188243786,0.163754377,0.190931469,0.181356704,0.158303201,0.180654338,0.179241925,0.147749749,0.150237366,0.169055799,0.154312712,0.173487027,0.152692976,0.159876483,0.143530009,0.160658329,0.139214004,0.127502867,0.157511708
49,Cuba,0.091525596,0.074562203,0.091525596,0.093801666,0.079612481,0.078366773,0.0638497,0.0638497,0.071965953,0.078366773,0.069317885,0.084491257,0.052053512,0.067973203,0.079612481,0.075841983,0.078366773,0.082072108,0.065239746,0.047227154,0.065239746
50,Cyprus,0.142674668,0.132094969,0.133900364,0.141815438,0.136576052,0.135688411,0.131185639,0.126570531,0.168307296,0.134796531,0.152692976,0.131185639,0.140085148,0.135688411,0.131185639,0.132094969,0.146073093,0.151059414,0.128430488,0.127502867,0.136576052
51,Czech Republic,0.247165073,0.220558202,0.20997759,0.206931377,0.215928143,0.198777325,0.175665191,0.205080141,0.198777325,0.166801543,0.167555885,0.189592293,0.205699206,0.192261437,0.184830848,0.196197298,0.173487027,0.174215806,0.176385839,0.152692976,0.160658329
52,Denmark,0.185518264,0.161437014,0.160658329,0.114991612,0.142674668,0.157511708,0.11697407,0.127502867,0.142674668,0.127502867,0.092667703,0.108906594,0.134796531,0.138338802,0.092667703,0.093801666,0.122792837,0.094927655,0.08568631,0.10259933,0.117957072
53,Djibouti,0.213570145,0.214162385,0.228397811,0.222265739,0.225635217,0.204459074,0.206931377,0.208155681,0.203210885,0.205080141,0.235923221,0.238018704,0.231120354,0.257287978,0.263734103,0.257287978,0.233270236,0.250602423,0.241118176,0.239057638,0.238538899
54,Dominican Republic,0.097156364,0.093801666,0.10682995,0.089216222,0.084491257,0.089216222,0.065239746,0.093801666,0.088048571,0.10682995,0.083286607,0.083286607,0.08568631,0.07064863,0.094927655,0.084491257,0.092667703,0.10259933,0.089216222,0.082072108,0.080847493
55,Easter Island (CHL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ecuador,0.125633421,0.10682995,0.104727823,0.101524903,0.109935619,0.104727823,0.11697407,0.115985609,0.107871404,0.12183601,0.115985609,0.122792837,0.138338802,0.12183601,0.127502867,0.122792837,0.125633421,0.129353454,0.133900364,0.122792837,0.12087409
57,Egypt,0.249137194,0.241118176,0.248646156,0.233803863,0.244166484,0.261458487,0.247165073,0.239574928,0.256347903,0.249626913,0.235395639,0.251088225,0.261458487,0.244669664,0.243661924,0.252537889,0.245671906,0.248646156,0.233270236,0.234335967,0.243155976
58,El Salvador,0.241629741,0.157511708,0.177819143,0.117957072,0.10259933,0.117957072,0.082072108,0.111975566,0.096045835,0.124691478,0.113991995,0.12087409,0.105782126,0.145229183,0.125633421,0.135688411,0.113991995,0.130271819,0.114991612,0.10682995,0.124691478
59,Equatorial Guinea,0.299199563,0.228397811,0.266426969,0.215341374,0.219411232,0.222831511,0.230036077,0.218257284,0.172755496,0.212380119,0.22619099,0.191597596,0.214162385,0.220558202,0.203210885,0.201323276,0.201954539,0.250115321,0.254928538,0.234866556,0.223395593
60,Eritrea,0.219985585,0.205699206,0.22784853,0.195546866,0.196845547,0.193582319,0.184830848,0.203210885,0.182056533,0.179949418,0.202583738,0.210581059,0.214752792,0.218257284,0.223957996,0.222265739,0.185518264,0.215341374,0.203835993,0.21709628,0.213570145
61,Estonia,0.110958578,0.11697407,0.092667703,0.080847493,0.100443525,0.086872005,0.071965953,0.092667703,0.111975566,0.080847493,0.078366773,0.086872005,0.108906594,0.078366773,0.074562203,0.07064863,0.091525596,0.052053512,0.059577255,0.034542313,0.084491257
62,Ethiopia,0.147749749,0.13299986,0.148582568,0.174941854,0.167555885,0.150237366,0.147749749,0.153504557,0.159876483,0.161437014,0.170544174,0.172755496,0.182753845,0.196197298,0.193582319,0.192261437,0.173487027,0.185518264,0.180654338,0.179241925,0.177103816
63,Falkland Islands [Islas Malvinas] (UK),0,0.000759205,0,0.000207318,0,0.000207318,0.000456508,0.000207318,0.000759205,0.000456508,0.001130932,0.000456508,0.001589841,0.001130932,0.002042776,0,0.000759205,0.000207318,0.000456508,0.000456508,0.000207318
64,Faroe Islands (DEN),0.004643713,0.007276815,0.003917141,0.007276815,0.010186449,0.013727846,0.006354023,0.002584281,0.004643713,0.000456508,0.002584281,0.002042776,0.000456508,0.002042776,0,0.003200438,0.008206532,0.002042776,0,0.003917141,0.003917141
65,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Finland,0.090375165,0.096045835,0.078366773,0.066614026,0.0638497,0.065239746,0.058115995,0.0638497,0.088048571,0.050475291,0.052053512,0.061019307,0.069317885,0.058115995,0.052053512,0.047227154,0.077110053,0.038323007,0.042057256,0.020615922,0.050475291
67,France,0.176385839,0.170544174,0.15187794,0.149411762,0.1374595,0.157511708,0.132094969,0.129353454,0.144381501,0.132094969,0.128430488,0.144381501,0.136576052,0.13299986,0.130271819,0.139214004,0.107871404,0.117957072,0.118934693,0.10259933,0.109935619
68,French Antilles (FRA),0.02708581,0.023769538,0.047227154,0.03071311,0.03071311,0.011377575,0.009185786,0.013727846,0.010186449,0.036440004,0.011377575,0.014951379,0.028887323,0.010186449,0.034542313,0.023769538,0.013727846,0.043829754,0.028887323,0.020615922,0.008206532
69,French Guyana (FRA),0.228397811,0.197491625,0.234335967,0.157511708,0.153504557,0.1374595,0.12183601,0.131185639,0.156716942,0.213570145,0.13299986,0.131185639,0.128430488,0.094927655,0.166044246,0.13299986,0.112986675,0.153504557,0.126570531,0.12087409,0.167555885
70,French Polynesia (FRA),0.000759205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Gabon,0.230579,0.194894234,0.223395593,0.189592293,0.19423939,0.203835993,0.200689936,0.187565993,0.162985012,0.171284091,0.205080141,0.18688582,0.206316281,0.205080141,0.188243786,0.212380119,0.188243786,0.219985585,0.225635217,0.197491625,0.200689936
72,Galapagos Islands (ECU),0.009185786,0.002584281,0.002042776,0.004643713,0.003917141,0.001589841,0.002584281,0.005394183,0.003200438,0.003917141,0.002584281,0.003200438,0.005394183,0.003917141,0.008206532,0.005394183,0.003917141,0.004643713,0.003917141,0.011377575,0.003917141
73,The Gambia,0.36481923,0.319243658,0.331118885,0.2932075,0.322139656,0.320214962,0.321500725,0.306395938,0.30139185,0.335855404,0.337593764,0.300664326,0.304981795,0.313959717,0.339312063,0.284200868,0.296604569,0.337881531,0.317939163,0.338455399,0.320214962
