,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.1883188,0.200201535,0.205286261,0.212639423,0.210763176,0.197600579,0.194068709,0.170091821,0.1883188,0.190156189,0.207223237,0.198761526,0.205564325,0.22769327,0.205564325,0.214495411,0.205007741,0.211569795,0.203608252,0.206672059,0.228911197
2,Albania,0.139293523,0.140135583,0.140135583,0.116904815,0.122735914,0.123683496,0.120337301,0.116904815,0.112354802,0.126487156,0.120820478,0.126487156,0.121781617,0.122735914,0.120337301,0.114902308,0.108169795,0.10922914,0.102175375,0.102175375,0.108700587
3,Algeria,0.132815173,0.145897442,0.134571789,0.123210536,0.126948884,0.121781617,0.121301911,0.124154807,0.120337301,0.124154807,0.121781617,0.107101384,0.112868359,0.109755477,0.11439682,0.103287373,0.111321449,0.119365652,0.11590741,0.11439682,0.11439682
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.099349428,0.091665325,0.0885652,0.081414624,0.077994189,0.070020118,0.070020118,0.062110859,0.066155482,0.062110859,0.051468816,0.076592608,0.05050721,0.067721532,0.068494279,0.053352462,0.0542757,0.063752019,0.056977272,0.051468816,0.047534769
6,Angola,0.11439682,0.097620933,0.101053011,0.110801608,0.107101384,0.102175375,0.102732653,0.108169795,0.095275702,0.103839566,0.104389264,0.106563712,0.112868359,0.112354802,0.113889346,0.115405831,0.105481298,0.11439682,0.114902308,0.103839566,0.105481298
7,Antigua and Barbuda,0.027810933,0.024858461,0.04110539,0.033667742,0.029279668,0.010374474,0.007700653,0.013464546,0.007700653,0.038773812,0.010374474,0.009435165,0.026332247,0.009435165,0.029279668,0.022034883,0.009435165,0.039954021,0.027810933,0.016954826,0.006870744
8,Argentina,0.05050721,0.056087639,0.051468816,0.053352462,0.052417025,0.052417025,0.04223072,0.04110539,0.046511924,0.056087639,0.048540987,0.057856577,0.052417025,0.057856577,0.048540987,0.053352462,0.044411974,0.047534769,0.048540987,0.045471394,0.046511924
9,Armenia,0.119365652,0.117894676,0.110801608,0.112868359,0.112354802,0.118386825,0.116407065,0.115405831,0.11590741,0.115405831,0.136737384,0.133256381,0.136306891,0.128324834,0.125092544,0.121781617,0.128324834,0.130138375,0.117400679,0.118877145,0.122259613
10,Australia,0.030740353,0.036311379,0.030740353,0.033667742,0.04223072,0.048540987,0.022034883,0.023435825,0.038773812,0.027810933,0.022034883,0.037561191,0.018172956,0.023435825,0.026332247,0.030740353,0.027810933,0.022034883,0.029279668,0.026332247,0.026332247
11,Austria,0.145088057,0.135441987,0.132372577,0.125092544,0.12923457,0.122259613,0.108700587,0.120820478,0.123210536,0.09586648,0.101615505,0.121781617,0.112354802,0.116407065,0.111321449,0.119365652,0.103287373,0.106023693,0.107101384,0.089815704,0.102732653
12,Azerbaijan,0.134571789,0.12923457,0.12878045,0.119365652,0.120337301,0.125092544,0.111321449,0.118877145,0.121781617,0.116407065,0.143044889,0.136306891,0.136737384,0.120337301,0.126023865,0.128324834,0.132815173,0.125092544,0.112354802,0.121781617,0.126023865
13,Azores (POR),0.018172956,0.018172956,0.036311379,0.005291133,0.007700653,0.003301209,0.003908881,0.002200785,0.004558342,0.006870744,0.009435165,0.001704629,0.002200785,0.001262229,0.000540404,0.004558342,0.002723225,0.003908881,0.004558342,0.012395403,0.000872054
14,Bahamas,0.070773547,0.047534769,0.052417025,0.052417025,0.037561191,0.039954021,0.033667742,0.038773812,0.048540987,0.033667742,0.027810933,0.043332284,0.022034883,0.027810933,0.047534769,0.029279668,0.032230683,0.027810933,0.020695073,0.014597509,0.013464546
15,Bahrain,0.214495411,0.216331623,0.230842466,0.208593441,0.209952745,0.248642648,0.232990085,0.241102105,0.237670957,0.243129407,0.273167363,0.255669188,0.246017552,0.247989983,0.260408798,0.238822067,0.225231707,0.245133868,0.232038821,0.248207803,0.256086322
16,Bangladesh,0.203045207,0.205007741,0.223737953,0.23275275,0.2332271,0.22597382,0.226712797,0.231561255,0.235111843,0.236976681,0.240875415,0.266802403,0.243576797,0.268560595,0.295271253,0.266409363,0.270494328,0.264828603,0.269336567,0.267781284,0.284732084
17,Belarus,0.140972771,0.135007555,0.122735914,0.115405831,0.134571789,0.10922914,0.104389264,0.11590741,0.130138375,0.113889346,0.105481298,0.121301911,0.12878045,0.105481298,0.102175375,0.105481298,0.10922914,0.102175375,0.09586648,0.099920008,0.101053011
