,Country,PAF1998,PAF1999,PAF2000,PAF2001,PAF2002,PAF2003,PAF2004,PAF2005,PAF2006,PAF2007,PAF2008,PAF2009,PAF2010,PAF2011,PAF2012,PAF2013,PAF2014,PAF2015,PAF2016,NA,NA
1,Afghanistan,0.141042233,0.145172297,0.14691428,0.149409075,0.148775119,0.144275586,0.143051532,0.134521375,0.141042233,0.1416866,0.147574175,0.144676321,0.147009134,0.154436099,0.147009134,0.150034483,0.146819229,0.149047878,0.146340985,0.1473866,0.154838514
2,Albania,0.122842715,0.123175531,0.123175531,0.11363847,0.116107466,0.116503538,0.115098566,0.11363847,0.1116717,0.117667388,0.115302539,0.117667388,0.115707168,0.116107466,0.115098566,0.1127774,0.109829052,0.110298659,0.107128695,0.107128695,0.110064627
3,Algeria,0.120252286,0.125430254,0.120960057,0.116306024,0.117857932,0.115707168,0.115505401,0.116700021,0.115098566,0.116700021,0.115707168,0.109353178,0.111895548,0.11053117,0.11255893,0.107635346,0.111219809,0.114687236,0.113210462,0.11255893,0.11255893
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0.105828779,0.102197745,0.100689258,0.097101937,0.095327136,0.091018344,0.091018344,0.086463343,0.0888317,0.086463343,0.079750099,0.094587838,0.079101537,0.089726275,0.090163366,0.080997842,0.081599042,0.087434825,0.083322065,0.079750099,0.077042254
6,Angola,0.11255893,0.105024638,0.106614566,0.110991724,0.109353178,0.107128695,0.10738294,0.109829052,0.103922116,0.107885944,0.108134765,0.109112831,0.111895548,0.1116717,0.112339144,0.112994572,0.108627186,0.11255893,0.1127774,0.107885944,0.108627186
7,Antigua and Barbuda,0.056984569,0.051959462,0.072241244,0.06568763,0.059506517,0.025693341,0.020567961,0.031374891,0.020567961,0.070344193,0.025693341,0.02386092,0.054680634,0.02386092,0.059506517,0.046751294,0.02386092,0.071317331,0.056984569,0.037981019,0.018964299
8,Argentina,0.079101537,0.082760409,0.079750099,0.080997842,0.080381846,0.080381846,0.073122655,0.072241244,0.076312829,0.082760409,0.077749051,0.083871919,0.080381846,0.083871919,0.077749051,0.080997842,0.07477766,0.077042254,0.077749051,0.075558753,0.076312829
9,Armenia,0.114687236,0.114061556,0.110991724,0.111895548,0.1116717,0.114271294,0.11342509,0.112994572,0.113210462,0.112994572,0.121827046,0.120430443,0.121655181,0.118423908,0.117089942,0.115707168,0.118423908,0.119165731,0.11385062,0.114479848,0.115907852
10,Australia,0.06178599,0.068209893,0.06178599,0.06568763,0.073122655,0.077749051,0.046751294,0.049153409,0.070344193,0.056984569,0.046751294,0.069312742,0.040172062,0.049153409,0.054680634,0.06178599,0.056984569,0.046751294,0.059506517,0.054680634,0.054680634
11,Austria,0.125115844,0.121309168,0.120073305,0.117089942,0.118796616,0.115907852,0.110064627,0.115302539,0.116306024,0.104201119,0.106872581,0.115707168,0.1116717,0.11342509,0.111219809,0.114687236,0.107635346,0.108870842,0.109353178,0.101300947,0.10738294
12,Azerbaijan,0.120960057,0.118796616,0.118610716,0.114687236,0.115098566,0.117089942,0.111219809,0.114479848,0.115707168,0.11342509,0.124318841,0.121655181,0.121827046,0.115098566,0.117475882,0.118423908,0.120252286,0.117089942,0.1116717,0.115707168,0.117475882
13,Azores (POR),0.040172062,0.040172062,0.068209893,0.01574213,0.020567961,0.011018464,0.01238978,0.008059495,0.013894162,0.018964299,0.02386092,0.006458667,0.008059495,0.005076295,0.002712958,0.013894162,0.009448129,0.01238978,0.013894162,0.029429383,0.003932353
14,Bahamas,0.091436667,0.077042254,0.080381846,0.080381846,0.069312742,0.071317331,0.06568763,0.070344193,0.077749051,0.06568763,0.056984569,0.07396675,0.046751294,0.056984569,0.077042254,0.059506517,0.06407133,0.056984569,0.044372039,0.033738668,0.031374891
15,Bahrain,0.150034483,0.150651599,0.155475402,0.148039788,0.148500741,0.161280742,0.156181915,0.158835013,0.157715746,0.159494409,0.169120776,0.163543682,0.160431422,0.161069784,0.165062074,0.158091712,0.153620911,0.160145017,0.155869194,0.161140204,0.163677567
16,Bangladesh,0.146148276,0.146819229,0.153124989,0.156103926,0.156259778,0.15386694,0.1541117,0.155712065,0.156878185,0.157488757,0.158761192,0.167100927,0.159639739,0.167659815,0.176071256,0.166975887,0.168273659,0.166472608,0.167906244,0.167412182,0.172768443
17,Belarus,0.123505568,0.121135003,0.116107466,0.112994572,0.120960057,0.110298659,0.108134765,0.113210462,0.119165731,0.112339144,0.108627186,0.115505401,0.118610716,0.108627186,0.107128695,0.108627186,0.110298659,0.107128695,0.104201119,0.1060927,0.106614566
18,Belgium,0.130846633,0.121309168,0.12078432,0.116700021,0.115302539,0.121655181,0.116700021,0.111219809,0.118796616,0.11053117,0.1127774,0.116107466,0.117667388,0.112994572,0.114061556,0.112118023,0.106872581,0.10738294,0.10738294,0.105828779,0.106354617
19,Belize,0.104201119,0.096754927,0.107885944,0.098453193,0.094211414,0.104752338,0.085456364,0.098453193,0.092255984,0.098782256,0.091018344,0.098453193,0.082760409,0.098453193,0.094211414,0.10738294,0.103922116,0.103357106,0.097784738,0.091436667,0.097784738
20,Benin,0.177520303,0.161140204,0.176071256,0.16545071,0.168212607,0.16142088,0.173874548,0.168940433,0.166345999,0.173047186,0.175118185,0.163944261,0.16753615,0.164341645,0.166787745,0.158982318,0.158613214,0.172768443,0.170948001,0.17048266,0.168819849
21,Bhutan,0.124157512,0.125115844,0.130294337,0.130155108,0.129734588,0.132985551,0.137319074,0.13720114,0.136124991,0.13720114,0.140168222,0.143257872,0.139388982,0.136003743,0.145565207,0.137553985,0.141579853,0.138135761,0.136845395,0.13778763,0.140498006
22,Bolivia,0.110298659,0.108134765,0.102197745,0.093444347,0.100065938,0.090163366,0.098120715,0.098453193,0.08928247,0.103071006,0.087434825,0.098120715,0.107635346,0.100689258,0.096404047,0.093830297,0.095690261,0.100689258,0.100996525,0.099749754,0.097101937
