"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan","NA","NA","NA","NA","0.03","0.02","0.02","0.03","0.04","0.04","0.09","0.15","0.2","0.25","0.35","0.6","0.39","0.38","0.39","0.41","0.43"
"2","Albania","0.05","0.09","0.09","0.1","0.12","0.13","0.14","0.13","0.13","0.14","0.14","0.15","0.16","0.18","0.16","0.17","0.19","0.18","0.18","0.19","0.2"
"3","Algeria","2.17","2.3","2.42","2.42","2.6","2.85","2.89","3.12","3.35","3.5","3.73","3.92","4.05","4.36","4.79","5.01","5.51","6","6.12","6.28","6.72"
"4","Angola","0.47","0.51","0.48","0.48","0.48","0.53","0.54","0.51","0.55","0.57","0.66","0.73","0.84","0.89","0.91","1.01","1.12","1.26","1.31","1.28","1.22"
"5","Antigua and Barbuda","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.03","0.03"
"6","Argentina","4.09","4.28","4.32","4.12","3.97","4.44","5.04","5.23","5.68","6.04","6.56","6.35","6.66","7.08","7.41","7.42","7.86","8.13","8.36","8.52","8.55"
"7","Armenia","0.1","0.09","0.11","0.11","0.1","0.11","0.12","0.14","0.15","0.17","0.19","0.16","0.16","0.18","0.21","0.2","0.21","0.19","0.21","0.21","0.24"
"8","Australia","9.46","9.79","10.15","10.54","10.99","11.32","11.98","12.38","12.82","13.42","13.79","14.24","14.38","14.57","14.8","14.93","14.86","15.42","16.25","16.42","16.89"
"9","Austria","1.91","1.9","1.95","2.13","2.21","2.41","2.49","2.56","2.54","2.52","2.57","2.39","2.62","2.61","2.56","2.62","2.54","2.65","2.72","2.89","2.91"
"10","Azerbaijan","0.74","0.75","0.81","0.78","0.79","0.88","0.89","0.96","1","0.92","1.04","0.89","0.86","0.99","1.11","1.16","1.24","1.25","1.3","1.26","1.41"
"11","Bahamas","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.07","0.06","0.06","0.05","0.06","0.06","0.06","0.11","0.12","0.12","0.12","0.12","0.12","0.13"
"12","Bahrain","0.48","0.49","0.51","0.54","0.57","0.61","0.62","0.74","0.82","0.85","0.93","0.95","1","1.03","1.07","1.18","1.26","1.3","1.34","1.39","1.39"
"13","Bangladesh","0.64","0.69","0.77","0.92","0.99","1.05","1.13","1.23","1.35","1.45","1.67","1.81","2.04","2.21","2.39","2.53","2.71","3.07","3.27","3.44","3.78"
"14","Belarus","1.72","1.69","1.66","1.65","1.69","1.74","1.88","1.94","2.06","2.06","2.19","2.14","2.33","2.28","2.35","2.43","2.45","2.32","2.37","2.46","2.61"
"15","Belgium","3.51","3.46","3.58","3.66","3.53","3.75","3.79","3.75","3.79","3.74","3.87","3.68","4.04","3.73","3.76","3.89","3.73","3.99","4.04","4.14","4.3"
