"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan","NA","NA","NA","NA","7.02","7.68","7.81","8.74","9.2","10.49","10.85","13.17","15.04","15.05","16.96","17.68","18.43","18.72","19.17","19.69","19.84"
"2","Albania","5.52","6.19","6.6","7.18","7.47","7.85","8.27","8.75","9.28","9.82","10.55","10.88","11.27","11.51","11.67","11.77","11.95","12.19","12.6","13.05","13.54"
"3","Algeria","97.56","100.42","104.37","107.77","113.69","121.9","127.23","134.61","136.8","141.33","144.61","147.1","152.25","156.48","161.34","166","171.67","177.39","183.16","185.39","188.09"
"4","Angola","32.46","33.32","34.39","35.81","40.84","42.13","46.78","53.9","60.37","68.8","76.51","77.17","80.84","83.73","90.97","95.5","100.31","101.08","98.46","98.54","96.47"
"5","Antigua and Barbuda","0.87","0.9","0.95","0.91","0.92","1","1.06","1.12","1.27","1.34","1.38","1.22","1.1","1.1","1.1","1.1","1.16","1.16","1.24","1.3","1.42"
"6","Argentina","301.91","290.68","289.25","276.42","246.23","267.7","293.1","319.57","344.41","373.66","390.17","365.74","403.64","426.75","423.79","433.22","424.12","434.19","424.12","436.65","425.04"
"7","Armenia","3.66","3.78","4","4.37","4.97","5.63","6.22","7.05","7.97","9.05","9.59","8.27","8.46","8.85","9.48","9.83","10.17","10.48","10.53","11.31","11.86"
"8","Australia","743.48","779.29","813.76","828.07","857.42","881.09","933.13","962.74","980.27","1024.61","1067.08","1077.44","1114.39","1137.96","1181.22","1209.16","1242.44","1274.21","1303.25","1336.54","1375.11"
"9","Austria","279.33","291.19","302.32","307.99","312.65","316.44","327.89","333.84","346.16","363.81","368.79","351.82","359.97","370.5","373.92","373.03","378.17","381.23","389.56","402.39","409.73"
"10","Azerbaijan","9.88","10.67","11.88","13.19","14.48","15.89","17.48","22.4","30.27","38.27","41.88","46.08","48.31","47.64","48.48","51.24","52.49","53.16","51.64","51.32","52.2"
"11","Bahamas","8.1","8.69","9.05","9.29","9.61","9.47","9.57","9.88","10.09","10.31","10.12","9.59","9.85","9.87","10.03","9.8","9.85","9.94","10.03","10.08","10.24"
"12","Bahrain","12.36","12.89","13.64","14.15","14.51","15.26","16.44","17.51","18.69","20.33","21.57","22.22","23.22","23.68","24.54","25.89","27.04","27.71","28.62","29.54","30.08"
"13","Bangladesh","58.23","60.91","63.93","67.01","69.51","72.8","76.56","81.43","86.71","92.77","98.23","102.87","108.68","115.64","123.08","130.76","138.4","147.31","157.56","168.63","181.08"
"14","Belarus","21.86","22.64","24.32","25.45","26.29","28.63","32.03","34.75","38.05","42.04","46.51","46.2","49.41","52.73","54.34","54.77","55.66","53.91","52.61","53.71","55.29"
"15","Belgium","324.81","342.14","356.15","363.12","370.26","370.91","389.06","402.1","409.82","430.36","431.11","421.18","433.25","444.14","446.69","450.17","461.6","470.16","477.83","487.6","493.33"
"16","Belize","0.74","0.8","0.9","0.95","1","1.09","1.15","1.17","1.23","1.24","1.29","1.3","1.35","1.37","1.41","1.41","1.47","1.52","1.51","1.53","1.57"
"17","Benin","4.01","4.26","4.48","4.74","4.95","5.13","5.33","5.44","5.63","5.95","6.24","6.41","6.52","6.73","7.07","7.6","8.09","8.2","8.52","9","9.64"
"18","Bhutan","0.54","0.59","0.63","0.68","0.76","0.82","0.87","0.93","0.99","1.18","1.23","1.29","1.45","1.56","1.62","1.69","1.78","1.91","2.06","2.15","2.19"
"19","Bolivia","12.48","12.57","12.91","13.2","13.49","13.89","14.42","15.04","15.8","16.41","17.49","17.99","18.62","19.6","20.58","22.01","23.16","24.25","25.21","26.27","27.41"
