"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan","NA","NA","NA","NA","NA","2.51","-1.45","6.17","2.79","11.7","-0.8","17.78","10.21","-3.93","8.9","0.33","1.01","-0.39","-0.13","-0.66","-10.7"
"2","Albania","NA","13.52","15.32","10.05","5.25","6.12","6.44","6.94","7.16","6.86","8.44","4.01","4.4","2.9","2.14","1.45","2.51","2.72","3.54","4.05","4.99"
"3","Algeria","NA","1.2","2.27","1.67","3.95","5.72","2.96","4.39","0.26","1.91","0.91","0.28","1.99","1.25","1.53","1.28","1.78","1.7","1.65","-0.3","-0.45"
"4","Angola","NA","-1.04","-0.56","0.28","9.78","-0.75","6.79","10.76","7.63","9.46","6.79","-3.14","0.63","-0.45","4.49","1.05","1.21","-2.79","-5.91","-3.23","-5.34"
"5","Antigua and Barbuda","NA","0.71","2.95","-6.34","-0.84","6.91","4.53","4.43","12.29","4.65","2.27","-12.13","-10.32","-0.49","-0.47","-0.44","5.02","-0.39","6.5","4.47","10.06"
"6","Argentina","NA","-4.67","-1.51","-5.47","-11.93","7.46","8.22","7.8","6.62","7.37","3.32","-7.3","9.12","4.55","-1.77","1.15","-3.14","1.29","-3.31","1.94","-3.7"
"7","Armenia","NA","3.84","6.43","9.94","14.54","14.13","11.32","14.19","13.87","14.33","6.64","-13.26","2.83","5.1","7.56","4.07","3.8","3.37","0.8","7.77","4.8"
"8","Australia","NA","3.67","3.25","0.58","2.31","1.5","4.57","1.83","0.44","3.04","2.62","-0.53","1.89","0.58","2.22","0.8","1.23","1.09","0.85","1.16","1.54"
"9","Austria","NA","3.91","3.45","1.46","1.01","0.65","2.99","1.22","3.2","4.71","1.08","-4.82","2.05","2.56","0.41","-0.92","0.52","-0.14","1.27","2.57","1.04"
"10","Azerbaijan","NA","6.96","10.32","9.97","8.73","8.63","8.83","26.67","33.48","24.76","7.91","8.44","3.33","-2.8","0.32","4.21","1.03","-0.07","-4.08","-1.8","2.07"
"11","Bahamas","NA","33.77","2.41","1.07","1.94","-2.86","-0.39","1.77","0.68","0.79","-3.11","-6.39","1.55","-0.84","0.65","-3.16","-0.32","0.13","0.15","-0.23","0.87"
