"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",NA,NA,NA,NA,"6.03","5.54","5.22","4.58","4.76","4.64","4.99","4.98","5.17","5.46","5.51","6.75","5.34","5.26","5.15","5.11","5.3"
"2","Albania","4","4.47","4.76","4.39","4.84","5.19","5.38","5.2","5.02","5.12","5.21","5.39","5.53","5.89","5.89","6.07","6.27","6.44","6.46","6.65","7.01"
"3","Algeria","5.36","5.61","5.49","5.26","5.34","5.34","5.26","5.36","5.43","5.51","5.58","5.46","5.56","5.67","5.94","5.85","6.2","6.53","6.49","6.56","6.51"
"4","Angola","5.06","4.61","4.47","4.53","4.2","4.08","3.98","3.82","3.44","3.48","3.45","3.43","3.53","3.44","3.34","3.32","3.12","3.29","3.3","3.09","3.05"
"5","Antigua and Barbuda","4.42","4.26","4.99","4.2","4.16","1.96","1.85","2.61","1.54","4.95","2.12","2.41","4.35","2.66","5.15","5.18","3.33","6.42","5.32","4.42","2.74"
"6","Argentina","4.56","4.89","4.61","4.64","4.67","4.77","4.37","4.21","4.46","4.91","4.58","4.92","4.72","4.97","4.65","4.82","4.41","4.75","4.98","4.72","4.89"
"7","Armenia","7.11","7.12","7.19","7.41","7.11","7.55","7.57","8.09","8.18","8.31","9.19","8.72","8.64","8.66","8.76","8.38","8.63","8.62","8.43","8.49","8.84"
"8","Australia","4.38","4.62","4.17","4.33","4.75","4.96","3.27","3.3","4.21","3.59","3.13","4.05","2.77","3.1","3.21","3.42","3.21","2.86","3.33","3.15","3.2"
"9","Austria","11.13","10.54","10.16","9.62","9.74","9.5","8.72","9.1","8.9","7.69","7.77","8.58","8.15","8.14","7.92","8.17","7.51","7.7","7.61","6.87","7.41"
"10","Azerbaijan","11.71","11.23","11.01","10.09","9.84","10.17","9.62","9.46","9.02","8.31","9.27","8.74","8.7","8.53","8.91","9.04","9.34","9.14","8.96","9.25","8.98"
"11","Bahamas","4.03","3.76","3.83","3.83","3.13","3.37","3.14","3.23","3.63","2.92","2.51","3.52","2.38","2.86","4.3","3.54","3.71","3.5","3","2.61","2.57"
"12","Bahrain","11.01","11.04","10.55","9.53","10.21","11.12","10.56","10.75","10.53","10.12","10.28","9.82","9.68","9.69","9.78","9.7","9.66","9.97","10.14","10.65","10.58"
"13","Bangladesh","4.24","4.29","4.6","4.83","4.94","4.94","5","5.16","5.33","5.38","5.5","5.79","5.73","5.78","5.86","5.66","5.85","5.95","6.09","6.31","6.73"
"14","Belarus","16.75","16.64","15.38","15.42","16.83","15.37","15.06","15.78","16.15","14.71","14.36","15.12","15.78","14.7","13.57","13.73","13.83","13.22","13.11","13.5","13.57"
"15","Belgium","14.05","12.56","12.24","11.5","11.27","12.03","10.91","10.01","10.56","9.41","9.66","9.92","9.92","9.19","9.34","9.05","8.19","8.35","8.24","8.17","8.43"
"16","Belize","2.63","3.62","4.27","4.07","2.9","3.54","3.38","3.3","3.15","3.12","2.27","3","2.18","2.84","2.76","3.42","3.3","3.19","3.21","3.17","3.07"
"17","Benin","6.31","5.55","6.08","5.77","5.89","5.7","6.16","5.88","6.33","6.6","6.44","6.29","6.45","6.26","6.11","5.82","5.82","6.5","6.48","6.64","6.41"
"18","Bhutan","5.23","4.85","4.53","4.18","5.03","4.66","4.4","5.12","4.79","4.85","5.4","6.51","6.46","6.58","7.4","6.13","6.32","5.93","5.94","6.11","7.2"
"19","Bolivia","4.66","4.41","4.23","3.72","3.99","3.74","4.12","4.14","3.95","4.59","4.22","4.72","5.24","5.18","5.29","5.13","5.35","5.49","5.79","5.77","5.64"
"20","Bosnia and Herzegovina","8.68","8.48","9.45","9.31","9.88","9.89","9.9","10.51","10.86","11.04","11.27","11.97","12.11","13.44","12.96","13.17","12.96","14.05","14.2","14.01","14.86"
"21","Botswana","4.57","4.29","4.79","5.36","5.16","4.93","4.6","4.89","4.42","4.42","4.78","4.75","4.77","5.01","5.15","5.01","5.24","5.51","5.28","5.25","4.92"
"22","Brazil","4.01","3.85","3.68","3.65","3.62","3.53","3.63","3.48","3.42","3.71","3.57","3.85","3.92","4.06","3.98","4.06","3.94","4.24","4.29","4.17","4.25"
"23","Brunei","6.55","5.07","4.84","4.88","5.64","5.78","5.9","5.65","6.93","5.98","5.88","7.41","6.2","6.75","6.9","6.91","7.15","7.55","7.52","6.6","6.45"
"24","Bulgaria","19.87","19.06","19.03","18.34","18.13","17.99","17.08","17.59","17.51","16.8","16.89","16.24","16.3","17.64","16.44","15.58","16.19","16.03","16.17","15.72","15.42"
"25","Burkina Faso","5.2","4.84","5.35","4.83","4.99","4.63","5.06","4.8","4.52","4.67","4.83","4.46","4.57","4.49","4.61","4.54","4.62","5.13","5.09","5.01","4.91"
"26","Burundi","3.36","2.71","2.74","2.68","2.57","2.6","2.48","2.46","2.33","2.25","2.15","2.07","1.97","1.89","2.26","2.16","2.07","2.15","1.73","1.73","1.7"
"27","Cambodia","4.05","3.38","3.63","3.55","3.67","3.53","3.76","3.69","3.66","3.93","3.77","3.96","4.18","4.32","4.18","4.54","4.64","4.97","5.17","5.27","5.57"
"28","Cameroon","6.2","5.54","5.85","5.23","5.33","5.24","5.37","5.22","5","5.06","5.09","5.1","4.97","4.78","4.78","4.57","4.53","4.95","4.9","4.65","4.6"
"29","Canada","8.05","7.39","6.98","7.07","7.16","6.91","6.17","6.45","6","5.67","5.65","5.44","5.01","5.26","5.27","5.04","5.3","5.24","4.66","5.35","5.71"
"30","Central African Republic","5.25","5.07","5.2","4.36","4.21","4.44","4.79","4.16","3.97","4.33","4.25","4.4","4.2","4.93","4.69","4.7","4.69","5.14","4.91","4.69","4.52"
"31","Chad","6.38","5.39","5.7","5.34","5.56","5.59","5.86","5.71","5.44","5.49","5.22","5.33","5.07","4.97","4.91","4.56","4.27","4.82","4.43","4.24","4.13"
"32","Chile","3.9","4.11","3.63","3.68","3.61","3.5","3.5","3.57","3.51","3.65","3.69","3.95","3.96","4.22","3.97","3.99","3.87","4.07","4.26","4.23","4.16"
"33","China","11.26","10.82","11.32","11.38","11.72","12.17","12.74","13.1","13.33","13.26","13.12","13.47","13.91","14.39","13.95","14.1","13.83","13.29","13.29","12.88","12.87"
"34","Colombia","4.18","3.87","3.95","3.45","3.61","3.69","3.53","3.5","3.51","3.5","3.55","3.59","3.82","3.76","3.65","3.74","3.79","3.8","4.06","4.05","4.4"
"35","Comoros","0","0","0","0","0","0","0","0","0","1.23","1.18","1.14","1.1","1.06","1.03","0.98","0.96","0.95","0.92","0.89","0.86"
"36","Congo","6.18","5.78","5.9","5.3","4.59","4.79","4.86","4.83","4.75","4.62","4.87","4.89","4.91","4.67","4.65","5.1","4.85","4.93","4.93","4.87","5.25"
"37","Costa Rica","2.21","1.74","1.76","1.82","1.64","1.72","1.55","1.79","1.8","1.87","1.78","1.89","1.93","2.01","2.14","2.16","2.16","2.35","2.51","2.51","2.35"
"38","Croatia","11.24","11.23","10.64","10.06","11.07","11.21","10.35","11.26","11.11","10.56","10.39","10.74","10.25","10.63","9.97","9.87","9.52","10.37","9.35","9.02","9.94"
"39","Cuba","5.43","5.09","5.32","5.3","4.79","4.8","4.47","4.53","4.53","4.72","4.55","5.17","4.59","4.73","5.17","5.11","5.32","5.62","5","4.59","5.4"
"40","Cyprus","12.8","12.13","11.5","11.11","10.57","10.25","9.85","9.57","10.66","9.58","9.71","9","9.02","8.67","8.46","8.54","9.09","9.3","8.6","8.54","8.13"
"41","Czech Republic","18.96","17.71","17.57","17.39","17.38","17.12","15.71","16.72","16.04","14.58","14.47","15.39","15.96","15.48","15.23","15.7","14.51","14.63","14.67","13.75","14.42"
"42","Democratic Republic of the Congo","3.91","3.41","3.51","3.07","3.05","3.03","3.03","2.85","2.65","2.82","2.81","2.73","2.74","2.78","2.84","2.88","2.83","2.65","2.43","2.22","2.22"
"43","Denmark","12.24","11.28","10.75","9.13","10.16","10.5","8.63","8.67","9.12","8.45","6.98","7.62","8.33","8.15","6.41","6.41","7.23","6.21","5.93","6.58","7.27"
"44","Dominican Republic","3.26","3.32","3.5","3.36","3.62","3.53","3.28","3.78","3.83","4.09","3.8","3.8","3.92","3.73","4.31","4.4","4.62","4.98","4.83","4.64","4.45"
"45","Ecuador","3.21","2.89","2.97","2.96","3.18","3.19","3.43","3.6","3.61","3.8","3.74","3.96","4.28","4.05","4.23","4.28","4.46","4.46","4.58","4.46","4.43"
"46","Egypt","6.78","6.77","6.53","6.75","6.97","7.23","7.25","7.39","7.63","7.61","7.39","7.67","7.72","7.66","7.9","7.8","7.8","8.06","7.93","7.88","8.24"
"47","El Salvador","4.02","3.29","3.44","3.03","2.86","3.12","2.91","3.31","3.28","3.61","3.36","3.6","3.31","3.81","3.55","3.78","3.76","4.1","3.95","3.91","4.26"
"48","Equatorial Guinea","7.94","6.32","6.23","5.27","4.41","4.4","4.25","3.98","3.38","3.54","3.51","3.07","3.37","3.46","3.03","3","2.93","3.28","3.33","3.22","3.2"
"49","Eritrea","4","3.5","3.61","3.32","3.22","2.84","3.26","3.18","2.75","2.71","3.01","2.9","2.83","3.04",NA,NA,NA,NA,NA,NA,NA
"50","Estonia","18.03","17.48","15.94","15.58","16.16","15.43","14.13","15.05","15.68","13.9","12.9","13.04","13.82","11.87","11.19","11.09","11.91","9.19","10.05","8.47","11.69"
"51","Eswatini","3.01","3.57","4.79","4.42","4.23","4.08","4.21","4.77","4.75","4.79","5.22","5.14","5.18","4.63","4.81","4.23","4.19","4.09","3.66","4.15","4.06"
"52","Ethiopia","2.73","2.43","2.6","2.9","2.78","2.63","2.57","2.41","2.42","2.4","2.45","2.37","2.24","2.31","2.32","2.33","2.36","2.38","2.4","2.42","2.41"
"53","Fiji","0.8","1.1","1.12","1.46","1.41","1.75","2.33","2.31","2.27","1.96","1.94","1.31","1.27","1.55","2.45","2.34","1.38","1.32","1.29","1.22","1.18"
"54","Finland","8.48","8.5","7.5","6.85","6.66","6.67","6.07","5.98","6.8","5.26","5.16","5.61","5.98","5.37","5.05","4.85","5.89","4.24","4.54","2.92","5.16"
"55","France","7.88","7.65","6.99","6.84","6.53","6.97","6.04","5.92","6.12","5.77","5.71","6.12","5.89","5.73","5.71","5.88","5","5.39","5.36","5.04","5.31"
"56","Gabon","7.09","6.45","6.89","6.43","6.29","6.69","6.42","6.1","5.59","5.49","6.05","5.74","5.92","5.79","5.5","5.79","5.49","5.88","5.97","5.68","5.69"
"57","Georgia","33.03","34.25","35.58","35.67","38.17","41.83","44.04","46.73","47.34","43.59","44.82","46.34","50.8","50.04","49.1","48.64","50.95","51.65","52.5","56.16","56.6"
"58","Germany","12.86","11.8","11.08","10.55","10.8","10.63","9.66","9.49","9.66","8.96","9.17","9.58","10.09","9.61","9.32","9.66","8.93","9.29","9.11","8.64","8.79"
"59","Ghana","5.01","4.69","5.01","4.56","5.06","4.81","5.23","5.03","4.97","5.41","5.27","4.96","5.07","5.23","5.31","5.04","4.95","5.57","5.49","5.63","5.43"
"60","Greece","12.84","13.04","12.97","12.35","12.51","12.21","11.51","11.47","11.36","11.59","11.94","11.79","11.85","12.52","12.45","12.44","12.16","12.37","12.51","12.13","13.18"
"61","Greenland","0","0","0","0","0","0","0.99","0.94","0.89","0.87","0.82","0.81","0.8","1.2","0.79","0.8","0.77","0.79","0.75","0.75","0.72"
