"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",NA,NA,NA,NA,"23.13","21.67","20.06","18.59","19.88","21.6","23.15","27.19","31.19","31.77","34.93","43.47","34.22","33.56","32.73","32.26","29.94"
"2","Albania","65.81","83.99","103.37","104.57","121.82","139.21","153.72","158.68","163.67","178.77","197.47","212.89","228.41","251.04","256.41","268.51","285.38","301.75","313.07","336.21","373.14"
"3","Algeria","181.42","192.56","192.33","186.88","197.68","208.58","211.75","225.19","228.87","236.97","242.21","237.66","246.88","255.15","272.09","271.52","293.89","316.01","318.89","321.77","317.67"
"4","Angola","126.82","113.77","109.62","111.47","112.98","108.7","113.3","120.14","115.99","128.51","135.84","130.93","135.88","131.47","133.24","133.97","127.12","130.61","123.22","111.34","103.88"
"5","Antigua and Barbuda","550.03","535.5","652.87","510.68","500.88","246.34","242.92","360.14","237.76","825.32","351.23","349.12","578.76","345.57","687.92","684.86","454.67","905.8","789.65","674.48","453.06"
"6","Argentina","400.57","410.9","380.05","361.42","320.37","352.42","347.82","360.86","408.07","484.81","465.52","465.8","486.11","536.75","491.69","516.18","456.16","498.79","506.94","488.19","488.13"
"7","Armenia","83.37","86.81","93.34","106.04","115.95","141.42","157.98","193.49","223.18","259.53","308.96","253.09","257.64","271.78","295.66","293.47","314.06","324.88","319.34","346.85","379.67"
"8","Australia","1845.27","2020.12","1874.07","1961.24","2211.43","2347.71","1589.61","1633.64","2116.84","1844.75","1646.48","2137.63","1470.02","1660.4","1758.53","1890.83","1794.87","1613.35","1900.32","1817.23","1875.89"
"9","Austria","4394.98","4295.88","4263.14","4070.47","4170.17","4081.72","3827.15","4060.84","4085.19","3649.95","3733.15","3953.36","3814.08","3911.17","3810.72","3902.48","3582.64","3674.73","3672.91","3375.36","3701.58"
"10","Azerbaijan","161.9","165.24","178.28","177.78","187.98","212","216.72","269.5","341.27","389.54","473.79","481.11","494.6","470.54","495.19","524.27","549.57","536.26","502.78","511.49","505.41"
"11","Bahamas","906.38","1130.11","1176.71","1190.8","983.18","1031.69","955.3","1002.44","1138.03","915.76","758.17","1008.19","683.5","817.26","1255.98","995.89","1042.58","980.03","837.63","724.26","719.15"
"12","Bahrain","2485.11","2531.41","2472.24","2206.84","2331.8","2530.84","2361.27","2364.33","2295.29","2237.97","2248.02","2045.37","1980.25","1950.25","1995.78","2030.54","2060.39","2140.1","2222.99","2393.95","2483.56"
"13","Bangladesh","20.57","21.49","23.95","26.11","27.38","28.31","29.8","32.34","35.18","37.59","40.22","43.91","45.32","48.13","51.42","52.05","56.49","60.58","65.69","72.37","82.79"
"14","Belarus","425.5","439.47","432.24","456.52","527.05","518.86","570.58","658.25","745.72","741.39","801.19","848.82","958.73","944.7","889.17","911.01","934.9","861.15","834.5","882.94","911.35"
"15","Belgium","5213.79","4810.92","4845.58","4582.27","4550.04","4884.13","4563.77","4260.93","4583.88","4206.28","4305.33","4301.66","4391.56","4108.3","4176.57","4040.38","3692.74","3822.28","3809.95","3834.12","3991.61"
"16","Belize","87.99","128.66","166.89","162.03","117.79","152.06","147.12","142.31","137.67","133.23","96.75","125.01","90.95","117.8","114.57","139.45","135.94","132.65","129.55","126.6","124.54"
"17","Benin","42.96","38.54","43.3","41.93","43.38","41.97","45.82","43.03","46.5","49.7","49.21","47.61","48.21","46.68","46.22","45.77","47.22","52.22","52.46","55.24","53.81"
"18","Bhutan","51.85","50.77","49.74","48.75","63.73","62.49","61.32","75.27","73.43","85.47","96.17","118.7","126.65","133.64","152.35","125.17","133.04","129.88","137.94","146.23","224.44"
"19","Bolivia","76.53","70.91","67.99","59.42","63.85","60.35","68.01","70.04","68.85","82.26","78.81","89.5","101.74","103.77","109.47","111.14","120.01","126.71","136.72","139.48","138.99"
"20","Bosnia and Herzegovina","211.06","221.97","261.9","271.47","303.48","313.13","330.86","388.42","429.73","463.83","508","532.3","551.99","628.81","609.89","642.37","649.11","736.13","779.34","797.24","890.15"
"21","Botswana","215.36","216.91","242.22","266.75","267.8","263.38","248.15","271.32","261.55","278.13","314.64","283.85","303.74","332.55","350.57","372.48","398.07","404.44","397.13","398.8","386.55"
"22","Brazil","347.93","330.66","325.64","322.27","324.75","316.57","339.52","331.51","334.08","380.05","379.21","404.57","437.42","465.41","461.06","479.49","463.08","475.7","461.78","450.16","456.72"
"23","Brunei","2330.66","1816.91","1747.57","1770.18","2081.65","2155.26","2171.71","2052.17","2583.8","2199.02","2087.62","2545.54","2154.37","2399.19","2440.9","2359.94","2353.39","2442.04","2341.29","2058.04","2010.99"
"24","Bulgaria","823.56","731.52","772.1","778.35","820.71","861.52","875.07","970.19","1037.87","1075.43","1154.08","1078.69","1108.49","1236.1","1162.38","1115.61","1188.23","1225.32","1292.58","1314.46","1340.27"
"25","Burkina Faso","20.66","20.09","21.95","20.51","21.43","20.77","23","22.97","22.24","23.5","25.29","23.26","24.31","24.68","26.12","26.36","27.09","30.27","30.79","31.25","31.4"
