"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",NA,NA,NA,NA,"0.421","0.426","0.407","0.389","0.422","0.466","0.477","0.547","0.619","0.625","0.642","0.678","0.656","0.665","0.649","0.653","0.688"
"2","Albania","0.173","0.203","0.236","0.228","0.262","0.304","0.328","0.345","0.352","0.394","0.438","0.474","0.501","0.544","0.568","0.584","0.611","0.663","0.684","0.736","0.828"
"3","Algeria","3.364","3.676","3.641","3.564","3.826","4.018","4.184","4.501","4.495","4.737","4.809","4.582","4.906","5.04","5.388","5.306","5.836","6.404","6.595","6.747","6.373"
"4","Angola","1.257","1.099","1.133","1.226","1.316","1.255","1.4","1.629","1.601","1.904","2.071","2.009","2.121","2.092","2.23","2.264","2.114","2.187","2.05","1.859","1.81"
"5","Antigua and Barbuda","0.03","0.028","0.042","0.034","0.033","0.013","0.011","0.019","0.013","0.061","0.02","0.016","0.035","0.014","0.042","0.033","0.017","0.059","0.048","0.033","0.015"
"6","Argentina","10.359","10.676","9.657","9.321","8.084","8.963","8.351","8.819","10.38","13.237","12.147","12.583","13.324","15.237","13.251","14.497","11.721","13.502","13.864","13.083","13.293"
"7","Armenia","0.186","0.196","0.205","0.239","0.285","0.354","0.396","0.472","0.561","0.646","0.772","0.628","0.649","0.663","0.701","0.699","0.749","0.802","0.758","0.843","0.915"
"8","Australia","24.611","27.926","25.227","26.921","31.761","34.627","19.526","20.433","30.276","24.675","20.721","31.231","17.376","21.841","24.355","27.832","26.335","22.145","28.628","27.097","28.616"
"9","Austria","33.082","32.424","32.226","30.641","31.522","30.797","28.834","30.875","31.257","27.797","28.525","30.607","29.295","30.239","29.61","30.549","28.171","29.15","29.353","26.793","29.891"
"10","Azerbaijan","0.574","0.601","0.668","0.702","0.789","0.924","0.967","1.378","2.006","2.549","3.24","3.521","3.734","3.441","3.632","3.925","4.168","4.095","3.779","3.971","3.743"
"11","Bahamas","0.284","0.295","0.312","0.322","0.257","0.267","0.243","0.265","0.316","0.247","0.214","0.297","0.18","0.225","0.337","0.239","0.265","0.245","0.196","0.15","0.146"
"12","Bahrain","1.055","1.112","1.103","0.948","1.074","1.309","1.318","1.369","1.382","1.439","1.54","1.479","1.486","1.511","1.595","1.6","1.628","1.774","1.883","2.129","2.17"
"13","Bangladesh","1.943","2.042","2.313","2.486","2.622","2.734","2.899","3.198","3.526","3.83","4.054","4.51","4.564","4.881","5.267","5.303","5.882","6.249","6.948","7.925","9.285"
"14","Belarus","2.688","2.832","2.761","2.986","3.626","3.464","3.806","4.568","5.268","5.192","5.612","6.087","6.929","6.812","6.172","6.29","6.476","5.888","5.563","5.92","6.07"
"15","Belgium","49.581","45.683","46.099","43.518","43.503","46.966","43.837","40.973","44.621","40.977","42.221","42.694","43.669","41.223","42.271","40.927","37.459","38.868","38.896","39.255","41.105"
"16","Belize","0.019","0.02","0.027","0.023","0.022","0.027","0.021","0.026","0.025","0.027","0.024","0.027","0.022","0.028","0.027","0.032","0.033","0.034","0.032","0.03","0.035"
"17","Benin","0.233","0.21","0.248","0.232","0.248","0.235","0.267","0.252","0.251","0.273","0.287","0.266","0.277","0.272","0.289","0.286","0.296","0.337","0.338","0.349","0.354"
"18","Bhutan","0.017","0.018","0.021","0.022","0.025","0.028","0.031","0.033","0.035","0.043","0.046","0.05","0.054","0.056","0.064","0.06","0.067","0.07","0.076","0.081","0.105"
"19","Bolivia","0.381","0.36","0.329","0.281","0.318","0.272","0.323","0.339","0.306","0.406","0.339","0.424","0.515","0.5","0.5","0.523","0.575","0.659","0.7","0.723","0.716"
"20","Bosnia and Herzegovina","0.544","0.6","0.654","0.687","0.789","0.817","0.866","1.039","1.107","1.196","1.25","1.301","1.303","1.436","1.39","1.463","1.425","1.658","1.62","1.612","1.868"
"21","Botswana","0.244","0.249","0.29","0.344","0.344","0.344","0.322","0.359","0.348","0.385","0.46","0.417","0.485","0.531","0.55","0.588","0.596","0.612","0.615","0.6","0.591"
"22","Brazil","49.678","47.128","46.226","46.179","47.252","46.397","50.692","49.712","50.676","59.459","59.253","65.73","71.063","76.597","75.142","78.33","74.543","78.754","77.643","75.128","77.822"
"23","Brunei","0.613","0.462","0.439","0.455","0.58","0.584","0.616","0.584","0.714","0.589","0.532","0.712","0.593","0.694","0.72","0.699","0.709","0.777","0.736","0.616","0.585"
"24","Bulgaria","5.215","4.54","4.783","4.689","5.037","5.115","5.218","5.849","6.251","6.329","6.941","6.538","6.56","7.193","6.704","6.463","6.807","6.905","7.426","7.378","7.561"
"25","Burkina Faso","0.219","0.216","0.24","0.234","0.254","0.248","0.292","0.297","0.293","0.324","0.332","0.321","0.347","0.352","0.393","0.378","0.402","0.484","0.501","0.517","0.539"
"26","Burundi","0.041","0.032","0.034","0.033","0.031","0.029","0.031","0.03","0.028","0.03","0.03","0.029","0.03","0.034","0.037","0.036","0.036","0.035","0.033","0.029","0.03"
"27","Cambodia","0.111","0.107","0.128","0.135","0.155","0.155","0.194","0.216","0.229","0.266","0.266","0.256","0.297","0.329","0.339","0.421","0.436","0.458","0.489","0.546","0.65"
"28","Cameroon","0.75","0.682","0.76","0.698","0.764","0.788","0.876","0.858","0.837","0.868","0.897","0.895","0.926","0.935","0.981","0.967","0.988","1.147","1.156","1.129","1.15"
"29","Canada","74.55","69.904","68.289","70.574","74.052","73.388","66.666","74.146","71.098","70.688","71.48","66.383","61.17","67.01","68.418","65.505","72.011","71.441","61.561","76.292","84.621"
"30","Central African Republic","0.073","0.071","0.068","0.063","0.065","0.061","0.07","0.062","0.065","0.071","0.074","0.08","0.082","0.091","0.094","0.053","0.051","0.058","0.059","0.059","0.061"
