"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan","NA","NA","NA","NA","94.37","95.48","94.54","92.05","91.86","92.18","84.02","79.03","75.91","71.77","64.73","52.96","62.79","63.88","62.53","61.64","61.75"
"2","Albania","76.32","69.82","71.6","69.2","68.6","70.26","70.53","72.23","72.45","73.77","75.6","76.31","75.8","75.44","77.54","77.26","76.22","78.58","78.85","79.05","80.91"
"3","Algeria","60.84","61.53","60.05","59.57","59.56","58.51","59.14","59.05","57.29","57.5","56.3","53.91","54.75","53.62","52.93","51.43","51.42","51.64","51.88","51.81","48.66"
"4","Angola","72.67","68.3","70.39","72.01","73.35","70.29","72.07","76.07","74.58","76.89","75.86","73.24","71.72","70.22","70.95","69.1","65.36","63.52","60.97","59.25","59.7"
"5","Antigua and Barbuda","81.57","79.49","85.73","82.73","82.11","60.87","55.57","68.01","59.56","86.77","67.45","58.26","73.82","52.76","65.34","58.44","44.29","71.13","66.01","56.49","36.49"
"6","Argentina","71.72","71.37","69.1","69.34","67.07","66.85","62.39","62.77","64.64","68.66","64.92","66.46","66.68","68.29","64.13","66.14","59.85","62.4","62.38","60.55","60.86"
"7","Armenia","65.43","68.53","66.12","68.68","74.94","76.54","76.91","76.68","79.17","78.83","79.92","79.81","80.7","78.6","76.75","77.33","78.25","80.68","78.31","80.22","79.54"
"8","Australia","72.24","74.04","71.31","71.87","74.3","75.36","61.97","62.28","70.24","64.77","60.04","68.68","54.72","59.98","62.2","65.09","63.92","58.95","63.79","62.27","62.88"
"9","Austria","94.53","94.47","94.28","93.5","93.44","92.74","92.04","92.34","92.48","91.7","91.74","92.75","91.78","92.06","92.04","92.1","91.73","91.67","91.51","90.26","91.14"
"10","Azerbaijan","43.7","44.64","45.35","47.33","49.98","51.2","52.09","58.85","66.82","73.42","75.71","79.89","81.25","77.58","76.6","77.14","77.06","76.54","74.41","75.87","72.62"
"11","Bahamas","84.49","85.64","86.94","87.13","84.21","81.8","79.54","80.21","83.03","79.18","82.26","84.09","74.73","78.57","75.54","65.78","69.19","68.05","62.28","55.13","53.8"
"12","Bahrain","68.92","69.53","68.4","63.79","65.21","68.39","68.1","64.95","62.76","62.88","62.41","61.01","59.67","59.44","59.88","57.49","56.41","57.8","58.34","60.44","60.92"
"13","Bangladesh","75.32","74.67","75.12","73.01","72.65","72.26","71.96","72.26","72.33","72.5","70.82","71.35","69.12","68.87","68.76","67.68","68.43","67.03","68.02","69.74","71.08"
"14","Belarus","61.04","62.66","62.48","64.36","68.2","66.56","66.96","70.18","71.89","71.63","71.96","74","74.84","74.96","72.39","72.13","72.55","71.74","70.09","70.68","69.9"
"15","Belgium","93.38","92.95","92.79","92.25","92.49","92.6","92.04","91.61","92.18","91.63","91.6","92.06","91.54","91.7","91.84","91.33","90.94","90.69","90.6","90.46","90.53"
"16","Belize","76.45","73.91","74.95","65.4","64.09","68.27","59.5","65.14","64.51","63.55","73.54","76.92","71.49","76","63.28","65.98","67.64","66.81","64.74","62.87","65.63"
"17","Benin","86.3","83.51","84.62","80.8","79.27","76.06","76.87","73.74","66.65","65.23","66.08","62.28","60.9","60.47","62.66","60.87","59.75","59.47","56.86","54.56","53.6"
"18","Bhutan","58.24","53.23","61.8","64.08","64.05","69.68","76.04","66.99","66.79","73.74","65.82","55.08","54.03","50.27","47.48","56.09","57.92","59.57","57.67","56.97","62.54"
"19","Bolivia","62.28","61.61","58.11","55.41","56.82","50.23","52.39","51.79","46.88","51.41","44.29","47.86","49.92","46.58","43.42","43.83","43.79","46.62","45.25","44.92","43.56"
"20","Bosnia and Herzegovina","63.97","66.08","61.41","62.42","63.99","63.83","63.46","66.06","64.71","64.85","63.28","63.76","62.78","61.59","62.29","63.12","61.78","64.33","60.15","59.49","62.6"
"21","Botswana","69.8","68.71","70.77","74.37","73.17","73.21","71.43","71.78","71.72","72.3","75.15","73.88","79.92","78.42","74.83","74.23","69.11","68.99","68.93","66.19","66.16"
"22","Brazil","84.41","83.06","81.56","81.17","81.28","80.77","81.19","80.49","80.38","81.88","80.8","83.03","82.09","82.24","80.58","79.94","78","79.49","80.03","78.79","79.28"
"23","Brunei","82.53","77.99","75.61","75.9","80.1","76.96","78.95","78.09","74.16","71","66.25","72.2","69.82","72.17","72.7","71.97","72.34","75.67","73.72","69.4","67.5"
"24","Bulgaria","77.96","77.15","77.74","76.29","78.21","76.07","76.83","78.05","78.45","77.11","79.3","80.6","79.48","79","79.08","79.96","79.63","78.78","80.88","79.58","80.66"
"25","Burkina Faso","90.43","89.81","90.26","89.72","90.47","89.05","90.07","90.05","89.75","88.89","83.51","83.79","84.17","82.19","82.8","76.96","77.4","80.17","79.91","78.36","78.13"
"26","Burundi","81.95","77.1","80.93","77.01","75.77","73.08","73.33","75.53","73.83","73.46","80.93","79.25","79.17","77.41","76.98","77.93","76.94","75.99","73.46","69.94","69.59"
"27","Cambodia","66.89","66.19","69.07","67.84","69.79","67.86","72.1","71.79","70.41","68.87","66.19","60.77","62.99","63.69","62.99","66.92","63.39","57.93","55.38","56.7","59.57"
"28","Cameroon","73.35","71.5","72.98","71.73","73.95","74.43","75.44","74.55","73.22","71.57","71.17","69.59","71.1","71.9","72.39","70.56","68.85","68.93","67.37","66.67","66.14"
"29","Canada","83.73","82.25","81.02","81.5","81.75","80.78","79.14","80.19","79.38","78.04","78.49","77.95","75.63","76.61","76.6","75","76.27","75.94","72.82","76.27","77.79"
"30","Central African Republic","92.26","91.68","89.58","88.46","88.72","87.27","88.18","88.87","86.97","86.97","87.14","87.22","87.01","86.22","85.88","77.36","76.76","77.1","76.74","76.42","76.24"
"31","Chad","97.82","97.35","97.47","97.43","97.49","96.47","97.23","97.48","97.22","96.48","96.95","97.12","97.3","96.86","96.64","96.18","96.05","95.94","94.9","94.53","94.52"
"32","Chile","72.1","71.62","70.91","72.72","72.29","70.98","70.18","71.39","71.53","70.14","69.41","71.62","71.07","71.5","69.86","69.08","70.37","69.9","69.53","69.29","68.59"
"33","China","55.07","56.59","58.32","59.13","59.99","58.58","57.7","57.58","58.05","58.72","60.36","61.44","62.47","62.9","62.99","63.8","64.54","64.85","65.99","66.11","67.05"
"34","Colombia","77.05","76.91","76.65","73.51","75.79","76.96","76.63","76.15","77.75","78.1","78.47","77.45","78.8","77.8","77.54","77.04","77.38","77.65","76.79","77.18","78.21"
"35","Comoros","57.9","0","56.71","55.78","55.64","53.76","35.52","21.58","21.27","33.03","19.37","18.25","17.59","26.31","25.12","21.15","13.81","21.61","28.47","11","26.12"
"36","Congo","75.19","71.06","71.07","68.91","77.53","72.58","72.96","69","66.11","68.39","69.59","68.15","68.23","69.87","69.64","66.67","67.78","68.44","67.18","64.49","60.72"
"37","Costa Rica","71.51","64.59","65.91","65.11","60.76","60.57","56.9","62.34","60.93","60.58","60.23","63.04","65.01","66.15","68.67","67.82","67.67","71.92","71.58","71.9","69"
"38","Croatia","89.27","88.89","88.68","87.56","88.5","88.31","87.45","88.6","88.62","87.6","87.99","88.36","87.82","88.29","88","87.83","87.54","88.42","87.11","86.37","87.77"
"39","Cuba","58.95","56.84","59.77","61.64","59.25","61.04","60.58","63.06","65.77","67.77","68.24","67.99","60.18","64.9","67.39","68.44","69.38","71.35","71.53","68.89","73.11"
"40","Cyprus","91.67","91.12","90.55","90.61","90.02","88.72","88.68","88.46","89.87","88.57","88.7","87.57","88.03","87.8","87.73","88.52","88.61","88.87","87.11","86.63","86.4"
"41","Czech Republic","87.18","86.99","85.95","85.92","86.43","85.98","85.02","86.94","86.89","85.79","86.36","87.14","87.31","87.18","87.08","87.67","87.06","87.48","87.35","86.71","87.4"
"42","Democratic Republic of the Congo","87.87","86.16","88.14","86.31","85.57","83.19","84.8","82.76","81.51","81.46","81.75","81.99","81.99","80.65","82.42","78.31","74.03","82.32","84.91","84.17","84.94"
"43","Denmark","95.06","94.95","95.16","94.08","94.64","94.22","93.65","94.11","93.66","93.65","92.6","93.06","93.63","94.12","93.3","92.9","94.33","93.87","93.4","94.45","94.99"
"44","Dominican Republic","52.23","51.6","52.78","51.27","47.61","53.76","53.93","60.08","60.46","64.22","62.22","63.41","64.65","63.36","67.38","67.72","71.7","73.59","72.49","72.28","71.86"
"45","Ecuador","56.43","56.94","54.52","52.38","56.13","56.62","57.72","57.67","56.44","57.6","57.84","55.99","55.78","55.06","56.88","56.88","55.87","56.01","56.61","56.68","53.9"
"46","Egypt","60.12","58.54","59.43","57.28","57.65","58.9","56.39","53.5","54.23","53.22","54.03","55.04","56.36","54.31","53.41","53.66","53.26","54.67","53.86","53.64","56.77"
"47","El Salvador","73.55","67.48","68.95","62.06","59.19","60.82","56.9","60.93","58.75","61.02","62.24","63.73","61.55","66","63.21","66.45","66.34","66.85","64.67","64","66.61"
"48","Equatorial Guinea","64.83","62.14","65.82","66.34","72.93","72.17","76.47","77.64","75.55","76.55","75.33","75.45","72.62","72.5","76.89","75.88","75.38","75.29","73.98","72.08","69.02"
"49","Eritrea","69.54","73.55","72.37","71.02","68.68","67.83","67.16","68.36","68.31","70.84","69.25","72.76","71.9","70.06","NA","NA","NA","NA","NA","NA","NA"
