"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",NA,NA,NA,NA,0.45,0.45,0.43,0.42,0.46,0.51,0.57,0.69,0.82,0.87,0.99,1.28,1.04,1.04,1.04,1.06,1.11
"2","Albania",0.23,0.29,0.33,0.33,0.38,0.43,0.47,0.48,0.49,0.53,0.58,0.62,0.66,0.72,0.73,0.76,0.8,0.84,0.87,0.93,1.02
"3","Algeria",5.53,5.97,6.06,5.98,6.42,6.87,7.07,7.62,7.85,8.24,8.54,8.5,8.96,9.4,10.18,10.32,11.35,12.4,12.71,13.02,13.1
"4","Angola",1.73,1.61,1.61,1.7,1.79,1.79,1.94,2.14,2.15,2.48,2.73,2.74,2.96,2.98,3.14,3.28,3.23,3.44,3.36,3.14,3.03
"5","Antigua and Barbuda",0.04,0.04,0.05,0.04,0.04,0.02,0.02,0.03,0.02,0.07,0.03,0.03,0.05,0.03,0.06,0.06,0.04,0.08,0.07,0.06,0.04
"6","Argentina",14.44,14.96,13.98,13.44,12.05,13.41,13.39,14.05,16.06,19.28,18.71,18.93,19.98,22.31,20.66,21.92,19.58,21.64,22.22,21.61,21.84
"7","Armenia",0.28,0.29,0.31,0.35,0.38,0.46,0.51,0.62,0.71,0.82,0.97,0.79,0.8,0.84,0.91,0.9,0.96,0.99,0.97,1.05,1.15
"8","Australia",34.07,37.71,35.38,37.46,42.75,45.95,31.51,32.81,43.1,38.1,34.51,45.48,31.75,36.41,39.16,42.76,41.2,37.57,44.88,43.51,45.51
"9","Austria",35,34.32,34.18,32.77,33.74,33.21,31.33,33.44,33.8,30.31,31.09,33,31.92,32.85,32.17,33.17,30.71,31.8,32.07,29.68,32.8
"10","Azerbaijan",1.31,1.35,1.47,1.48,1.58,1.8,1.86,2.34,3,3.47,4.28,4.41,4.6,4.44,4.74,5.09,5.41,5.35,5.08,5.23,5.15
"11","Bahamas",0.34,0.34,0.36,0.37,0.31,0.33,0.31,0.33,0.38,0.31,0.26,0.35,0.24,0.29,0.45,0.36,0.38,0.36,0.31,0.27,0.27
"12","Bahrain",1.53,1.6,1.61,1.49,1.65,1.91,1.94,2.11,2.2,2.29,2.47,2.42,2.49,2.54,2.66,2.78,2.89,3.07,3.23,3.52,3.56
