"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",NA,NA,NA,NA,23389.4,23946.6,23455.3,25015.6,25883.8,29495.6,29381.5,35758.4,40248.1,38524.3,42703.3,43545.9,43302.5,43035.1,42897.5,42533.4,37255.6
"2","Albania",134017.4,157295.4,187325.2,208968.9,223500.9,241244.1,260464.5,281419,305228.5,331126.4,365206.9,383838.9,404752,420914.6,431882.5,440162.9,454773.2,470837.5,490661,516079.3,549636
"3","Algeria",318715.7,324310,332640.5,338308.8,354832.4,379236.2,392427.7,413664.3,415330.1,425288.9,430336.5,431156.9,442001.2,449271.5,459095.9,465665,477748.6,489591.8,499020.5,497704.7,494697.8
"4","Angola",222403.5,218415.9,216559.1,217481.8,242280.8,239614.9,259032.8,292263.3,317641.8,354222.4,383092.5,368703,371937.8,369467.8,389035.1,393844.7,398581.9,386091.1,358911.6,344084.5,322031.9
"5","Antigua and Barbuda",2432253.7,2460517.3,2580900.4,2363595.2,2577947.8,2459366.9,2585918.3,2870926.8,3135090.3,3343133.2,3323633.7,2909942.2,2630582.4,2553898,2797606.1,2774258,2848664.8,2926336.4,3045329.5,3113021.2,3315665.3
"6","Argentina",1000683.1,948818.2,928307.9,868007.9,745563.9,813881.9,890344.9,972438.9,1053386.5,1153744.5,1194850.3,1095813.5,1213718.8,1284283.9,1252056.8,1272026.1,1160453.8,1241978.5,1196259.8,1161809.7,1168767.7
"7","Armenia",89456.3,93617.1,100984.3,113526.1,132843.7,156933.5,178460.3,210413.6,246283.3,289846.3,316410.3,265315.7,274047.6,291193.6,318116.5,332196.4,347959.4,362709.7,364987.1,399697.2,424470.4
"8","Australia",7014501.8,7233965.9,7393773.8,7438045.6,7601671.5,7705985.4,7874597.6,7991587.2,8080830.4,8233860,8374634.6,8402922.2,8439456.8,8501526.1,8659702.6,8730043.3,8800846.9,8852391.6,8946731.6,9016378.9,9131153.8
"9","Austria",6660094.6,6831468.2,6995373.9,7042936.3,7107516.6,7128957.7,7248917,7343982.6,7517723.9,7718373.6,7790522.4,7541052.3,7635843.1,7791508.8,7801994.6,7761134.7,7749569.4,7753273.4,7825937.7,7935820.9,8039401.6
"10","Azerbaijan",108962.1,117344.9,131681.6,145787.2,160588.2,178285.8,195718.3,259458.8,364732.6,471283.9,522936.6,572174.8,594749.7,573508.9,578663.4,609018.8,619147.9,616988.6,585401.9,575118.1,587317.1
"11","Bahamas",4245051.9,5351900.1,5455217.6,5500902.3,5554107.4,5435045.1,5410674.1,5493679.6,5540669.7,5543609.5,5384183,5152830.9,5168829.9,5150686.3,5236917.5,5076636.3,5072908.7,5065436.9,5053175.5,5026559.4,5060695.2
"12","Bahrain",4317130,4399896.8,4516308.8,4347461.7,4299111.9,4287587.2,4228123,4170315.5,4141260.7,4188894.4,4153402.2,3993951.9,3935538.6,3887026.9,3929286.5,4011521.5,4070925.9,4089738.8,4160160.5,4245701.6,4394524.2
"13","Bangladesh",30984.7,32231,33780.8,35326.9,36403.3,37904.9,39688.1,42169.9,44872,47972.4,50698.4,53021.1,55792,59328.6,63142.3,66838,70805.6,75459.4,80943.8,87028,94743.1
"14","Belarus",226040.1,236824.9,255170.6,271678.5,290603.3,318048.7,365172.2,409946.9,463016.3,514376.4,581049.8,585314.4,643466,688341.7,704830.5,715246.4,731917.8,700005.9,680468.3,703294.8,726050.9
"15","Belgium",6338859.3,6501657.2,6675290,6712284.2,6780422.8,6812293.8,6978341.1,7075783.5,7184020,7355138,7340794.6,7180840.9,7301680.1,7356125.6,7358048,7348000.1,7406593.1,7495150.7,7556189.1,7646708,7704801
"16","Belize",314920,337863.4,378607.7,387515.9,396329.3,424316.1,430693.1,426689.3,432691.4,421506.8,421258,408944.7,410383.2,406635.4,407200.7,398441,403622.4,408119.7,393891.5,389760,396141.7
"17","Benin",46557.3,47700.3,49154.2,50340.7,51114.9,51156.6,51765.7,50740,51048.2,52568.6,53482.7,52836.7,52083.3,51891,52845.1,55318.7,57402.7,56749,57360.3,59260.2,59918.6
"18","Bhutan",73020.1,78072.8,82548.2,88734,98189.8,104993.5,110088.4,117201.3,123372.7,145608.6,147486.2,151892.8,165655.1,172808.5,175712.6,173942.6,180340.7,189272.6,202986.2,210350.4,288789.3
"19","Bolivia",133997.8,130579.5,130579.5,129547.2,129995,131037.7,134575.4,138758.6,143784.4,148630.5,156391,159318,163669.6,170167.1,176675.4,186859.5,194603.3,201309,206967.8,212790,217800.1
"20","Bosnia and Herzegovina",214493.2,234362.5,250959.4,266884.8,283868.5,294516.2,314096.4,354475.6,384795.5,413522.6,450025.9,442729.7,455973.2,470330.6,473892.2,494564,510337.5,539090.1,569869.3,595264.1,632726
